"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","queue-proxy","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1719017340000,undefined,undefined,0,undefined,undefined,0,3,0,0,0,undefined,5,6,31,1,0,undefined,undefined,undefined,4
1719017370000,undefined,undefined,0,undefined,undefined,0,1,0,0,0,undefined,5,4,34,0,1,undefined,undefined,undefined,3
1719017400000,undefined,undefined,0,undefined,undefined,0,undefined,0,0,0,undefined,4,3,29,0,0,undefined,undefined,undefined,2
1719017430000,undefined,undefined,0,undefined,undefined,4,undefined,0,0,0,undefined,21,4,22,2,0,undefined,undefined,undefined,3
1719017460000,1,0,0,undefined,undefined,20,68,11,1,1,undefined,3,11,33,2,0,undefined,0,1,6
1719017490000,2,1,0,0,undefined,22,86,16,1,2,1,8,11,33,2,0,undefined,1,1,7
1719017520000,1,1,0,1,undefined,26,undefined,5,0,2,1,6,8,23,1,0,undefined,1,1,5
1719017550000,17,3,0,0,undefined,5,undefined,11,0,2,6,19,6,32,2,0,undefined,5,12,5
1719017580000,13,5,0,4,undefined,5,76,3,0,2,15,17,10,31,3,1,undefined,14,7,7
1719017610000,20,3,0,2,undefined,31,73,4,0,2,17,23,10,27,3,0,undefined,6,8,9
1719017640000,22,7,0,2,undefined,27,51,8,0,2,22,31,13,17,3,0,undefined,5,9,11
1719017670000,20,2,0,1,undefined,25,undefined,5,0,2,20,17,12,30,4,0,undefined,7,7,9
1719017700000,13,5,0,4,undefined,28,81,15,0,2,17,28,14,33,2,0,undefined,13,11,12
1719017730000,26,6,0,4,undefined,7,101,7,0,2,26,32,19,32,4,1,undefined,25,5,12
1719017760000,23,7,0,8,undefined,30,103,14,0,2,19,40,15,33,5,0,undefined,9,8,13
1719017790000,20,6,0,6,undefined,22,95,5,0,2,10,29,3,26,5,0,undefined,15,5,6
1719017820000,22,5,0,3,undefined,19,74,2,0,2,7,16,13,32,2,0,undefined,15,9,8
1719017850000,20,5,0,6,undefined,32,undefined,6,0,2,9,23,18,29,1,0,undefined,11,12,11
1719017880000,21,5,0,3,undefined,35,102,4,0,2,9,16,10,30,6,0,0,14,3,8
1719017910000,18,5,0,2,1,9,143,14,0,3,12,14,20,31,2,0,1,13,8,11
