"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1719017340000,undefined,undefined,1,undefined,undefined,12,98,12,7,7,undefined,6,4,34,123,undefined,undefined,undefined,13
1719017370000,undefined,undefined,1,undefined,undefined,12,98,12,7,7,undefined,6,4,34,123,undefined,undefined,undefined,13
1719017400000,undefined,undefined,1,undefined,undefined,12,98,12,7,7,undefined,6,5,34,123,undefined,undefined,undefined,13
1719017430000,undefined,undefined,1,undefined,undefined,15,98,14,7,7,undefined,6,4,34,123,undefined,undefined,undefined,13
1719017460000,6,4,1,2,undefined,19,116,37,8,6,5,6,5,34,123,undefined,4,5,13
1719017490000,8,6,1,3,undefined,20,111,38,8,6,8,6,6,34,123,undefined,6,6,13
1719017520000,8,7,1,4,undefined,20,111,24,8,6,11,6,4,34,123,undefined,7,7,13
1719017550000,105,62,1,5,undefined,20,109,39,8,6,98,6,6,34,123,undefined,96,85,15
1719017580000,98,67,1,69,undefined,20,105,18,7,6,209,6,4,34,123,undefined,87,49,15
1719017610000,105,65,1,71,undefined,20,104,39,7,6,205,6,6,34,123,undefined,95,47,15
1719017640000,100,66,1,36,undefined,20,104,40,7,6,201,6,5,34,123,undefined,52,53,15
1719017670000,98,43,1,38,undefined,20,111,34,7,6,196,6,4,34,123,undefined,49,34,15
1719017700000,98,69,1,39,undefined,20,107,67,7,6,198,6,4,34,123,undefined,54,55,16
1719017730000,104,67,1,46,undefined,20,108,43,7,6,198,6,4,34,122,undefined,106,43,16
1719017760000,101,70,1,76,undefined,20,106,87,7,6,198,6,4,34,122,undefined,54,56,16
1719017790000,87,69,1,87,undefined,20,109,31,6,6,114,6,6,34,122,undefined,50,33,16
1719017820000,12,18,1,37,undefined,20,109,52,7,6,36,6,5,34,122,undefined,20,22,15
1719017850000,11,14,1,21,undefined,21,106,54,7,6,14,6,5,34,122,3,19,24,15
1719017880000,20,12,1,14,undefined,22,103,38,7,6,14,6,6,34,122,4,25,19,15
1719017910000,10,15,1,15,10,22,106,122,7,6,32,6,5,34,122,6,29,26,15
1719017940000,11,14,1,17,12,22,106,42,7,6,20,6,4,34,122,7,27,16,15
1719017970000,15,11,1,20,12,22,114,62,6,6,20,6,5,34,122,67,26,18,16
1719018000000,14,11,1,25,218,22,111,61,6,6,24,6,5,34,122,67,23,23,16
1719018030000,12,13,1,25,undefined,24,108,42,7,6,19,6,5,34,122,undefined,43,21,16
1719018060000,13,10,1,26,undefined,23,108,99,7,6,28,6,6,34,122,undefined,46,30,17
