"Time","city-pole","event-store","ngsi-ld-city-airqualityobserved","ngsi-ld-city-crowdflowobserved","ngsi-ld-city-device","ngsi-ld-city-offstreetparking","ngsi-ld-city-parkingspot","ngsi-ld-city-streetlight","ngsi-ld-city-trafficflowobserved","ngsi-ld-city-weatherobserved","s4city-city-neighborhood","Total Number of Pods"
1718958960000,undefined,1,undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined,1
1718958990000,undefined,1,undefined,undefined,0,undefined,undefined,undefined,undefined,undefined,undefined,1
1718959020000,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1
1718959050000,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1
1718959080000,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1
1718959110000,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1
1718959140000,9,2,17,undefined,undefined,undefined,undefined,undefined,8,3,0,39
1718959170000,18,20,18,18,undefined,undefined,undefined,undefined,18,18,18,128
1718959200000,18,20,3,18,undefined,1,1,undefined,18,18,18,115
1718959230000,2,9,6,1,undefined,2,1,undefined,3,5,5,34
1718959260000,3,9,6,6,undefined,2,1,undefined,3,5,5,40
1718959290000,4,11,5,6,undefined,2,1,undefined,8,6,2,45
1718959320000,5,19,5,2,undefined,2,1,undefined,10,18,6,68
1718959350000,6,9,2,5,undefined,0,0,undefined,1,9,6,38
1718959380000,6,6,5,5,undefined,2,1,undefined,10,18,2,55
1718959410000,7,11,6,5,undefined,2,1,undefined,10,18,5,65
1718959440000,7,4,5,5,undefined,1,1,undefined,5,8,2,38
1718959470000,5,13,8,7,undefined,1,1,undefined,5,8,9,57
1718959500000,7,13,6,7,undefined,1,1,undefined,8,2,13,58
1718959530000,2,6,3,1,undefined,1,1,undefined,9,9,3,35
1718959560000,1,11,2,4,undefined,1,1,18,2,9,7,56
1718959590000,4,11,4,4,17,1,1,18,5,7,7,79
1718959620000,7,9,15,11,18,1,1,18,10,7,14,111
1718959650000,18,12,18,17,4,1,1,1,18,4,18,112
1718959680000,18,13,5,5,1,1,1,0,5,4,5,58
1718959710000,1,13,8,4,0,1,1,0,2,5,3,38
1718959740000,4,5,8,6,0,1,1,0,4,7,6,42
1718959770000,8,6,17,3,0,1,1,0,12,5,12,65
1718959800000,8,10,17,3,0,1,1,0,12,5,12,69
1718959830000,2,11,4,7,0,1,1,0,4,2,6,38
1718959860000,3,6,5,7,0,1,1,0,5,4,8,40
1718959890000,4,25,4,3,0,1,1,0,3,6,16,63
