"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","queue-proxy","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total CPU Usage"
1718965440000,undefined,undefined,0.5,0.1,undefined,1.1000000000000003,0.05,0.4,1,0.5,undefined,0.07500000000000001,8,0.30000000000000004,4,0.1,undefined,0.1,undefined,16.225
1718965470000,undefined,undefined,0.5,undefined,undefined,1.1000000000000003,0.05,0.4,1,0.5,undefined,0.05,8,0.30000000000000004,4,0.1,undefined,0.1,undefined,16.1
1718965500000,undefined,undefined,0.5,undefined,undefined,1.1000000000000003,0.05,0.4,1,0.5,undefined,0.05,8,0.30000000000000004,4,0.1,undefined,0.1,undefined,16.1
1718965530000,undefined,undefined,0.5,undefined,undefined,1.1000000000000003,0.05,0.4,1,0.5,undefined,0.025,8,0.30000000000000004,4,0.1,undefined,undefined,undefined,15.975
1718965560000,undefined,0.2,0.5,undefined,undefined,1.2000000000000004,0.05,0.4,1,0.5,undefined,0.07500000000000001,8,0.30000000000000004,4,0.1,undefined,undefined,undefined,16.325000000000003
1718965590000,undefined,0.2,0.5,undefined,undefined,1.2000000000000004,0.05,0.4,1,0.5,undefined,0.07500000000000001,8,0.30000000000000004,4,0.1,undefined,undefined,undefined,16.325000000000003
1718965620000,undefined,0.2,0.5,undefined,undefined,1.2500000000000004,0.05,0.4,1,0.5,undefined,0.1,8,0.30000000000000004,4,0.1,0.1,undefined,undefined,16.5
1718965650000,undefined,undefined,0.5,undefined,undefined,1.2500000000000004,0.05,0.4,1,0.5,undefined,0.05,8,0.30000000000000004,4,0.1,0.1,undefined,undefined,16.25
1718965680000,undefined,undefined,0.5,undefined,undefined,1.2500000000000004,0.05,0.4,1,0.5,undefined,0.05,8,0.30000000000000004,4,0.1,0.1,undefined,undefined,16.25
1718965710000,undefined,undefined,0.5,undefined,undefined,1.2500000000000004,0.05,0.4,1,0.5,undefined,0.025,8,0.30000000000000004,4,0.1,undefined,undefined,undefined,16.125
1718965740000,undefined,undefined,0.5,undefined,undefined,1.2500000000000004,0.05,0.4,1,0.5,undefined,0.025,8,0.30000000000000004,4,0.1,undefined,undefined,undefined,16.125
1718965770000,undefined,undefined,0.5,undefined,0.1,1.3000000000000005,0.05,0.4,1,0.5,undefined,0.05,8,0.30000000000000004,4,0.1,undefined,undefined,undefined,16.3
1718965800000,undefined,undefined,0.5,undefined,0.1,1.3000000000000005,0.05,0.4,1,0.5,undefined,0.05,8,0.30000000000000004,4,0.1,undefined,undefined,undefined,16.3
1718965830000,undefined,undefined,0.5,undefined,0.1,1.3000000000000005,0.05,0.4,1,0.5,undefined,0.05,8,0.30000000000000004,4,0.1,undefined,undefined,undefined,16.3
1718965860000,undefined,undefined,0.5,undefined,undefined,1.3000000000000005,0.05,0.4,1,0.5,undefined,0.025,8,0.30000000000000004,4,0.1,undefined,undefined,undefined,16.175
1718965890000,1.4000000000000001,undefined,0.5,undefined,undefined,1.3000000000000005,0.05,0.4,1,0.5,undefined,0.37500000000000006,8,0.30000000000000004,4,0.1,undefined,undefined,undefined,17.925000000000004
1718965920000,1.8000000000000005,1.8000000000000005,0.5,1.5000000000000002,undefined,1.3000000000000005,0.05,6.400000000000001,1,0.5,0.7,2.7499999999999942,8,0.30000000000000004,4,0.1,undefined,1.8000000000000005,1.8000000000000005,34.299999999999926
1718965950000,1.8000000000000005,1.8000000000000005,0.5,1.8000000000000005,undefined,1.3000000000000005,0.05,8.400000000000002,1,0.5,1.8000000000000005,3.2249999999999925,8,0.30000000000000004,4,0.1,undefined,1.8000000000000005,1.8000000000000005,38.17499999999989
