"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total Memory Usage"
1718965440000,undefined,undefined,134217728,104857600,undefined,671088640,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,104857600,undefined,71532883200
1718965470000,undefined,undefined,134217728,undefined,undefined,671088640,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,104857600,undefined,71428025600
1718965500000,undefined,undefined,134217728,undefined,undefined,671088640,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,104857600,undefined,71428025600
1718965530000,undefined,undefined,134217728,undefined,undefined,671088640,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71323168000
1718965560000,undefined,134217728,134217728,undefined,undefined,805306368,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1718965590000,undefined,134217728,134217728,undefined,undefined,805306368,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1718965620000,undefined,134217728,134217728,undefined,undefined,872415232,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,67108864,undefined,undefined,71725821184
1718965650000,undefined,undefined,134217728,undefined,undefined,872415232,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,67108864,undefined,undefined,71591603456
1718965680000,undefined,undefined,134217728,undefined,undefined,872415232,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,67108864,undefined,undefined,71591603456
1718965710000,undefined,undefined,134217728,undefined,undefined,872415232,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71524494592
1718965740000,undefined,undefined,134217728,undefined,undefined,872415232,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71524494592
1718965770000,undefined,undefined,134217728,undefined,67108864,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71658712320
1718965800000,undefined,undefined,134217728,undefined,67108864,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71658712320
1718965830000,undefined,undefined,134217728,undefined,67108864,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71658712320
1718965860000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1718965890000,1468006400,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,73059609856
1718965920000,1887436800,1887436800,134217728,1572864000,undefined,939524096,33554432,2147483648,1073741824,134217728,469762048,51539607552,402653184,17179869184,20000000,undefined,1887436800,1887436800,83197242624
1718965950000,1887436800,1887436800,134217728,1887436800,undefined,939524096,33554432,2818572288,1073741824,134217728,1207959552,51539607552,402653184,17179869184,20000000,undefined,1887436800,1887436800,84921101568
1718965980000,1887436800,2222981120,134217728,1887436800,undefined,939524096,33554432,2818572288,1073741824,134217728,1207959552,51539607552,402653184,17179869184,20000000,undefined,1887436800,1887436800,85256645888
1718966010000,2202009600,2537553920,134217728,2516582400,undefined,939524096,33554432,1342177280,1073741824,134217728,1744830464,51539607552,402653184,17179869184,20000000,undefined,2097152000,1887436800,85785128192
