"Time","city-pole-00001","event-store-00001","ngsi-ld-city-airqualityobserved-00001","ngsi-ld-city-crowdflowobserved-00001","ngsi-ld-city-device-00001","ngsi-ld-city-offstreetparking-00001","ngsi-ld-city-parkingspot-00001","ngsi-ld-city-streetlight-00001","ngsi-ld-city-trafficflowobserved-00001","ngsi-ld-city-weatherobserved-00001","s4city-city-neighborhood-00001","All Revisions"
1718965440000,9786.466,249867.096,9781.208,3609.857,0,31.664,31.664,0,10033.572,10024.108,9814.857,302980.492
1718965470000,8100.836,240365.566,8098.729,3090.748,0,21.154,21.154,0,8471.641,8464.267,8111.37,284745.466
1718965500000,6519.697,226277.664,6500.698,2574.314,0,21.202,21.202,0,6904.947,7073.824,6555.583,262449.131
1718965530000,4904.549,215972.818,4893.972,2045.589,0,21.254,21.254,0,5332.917,5326.57,4943.684,243462.607
1718965560000,3408.23,201301.013,3407.17,1520.187,0,10.656,10.656,0,3754.884,3745.343,3414.591,220572.73
1718965590000,1943.707,190638.103,1941.582,991.514,0,10.687,10.687,0,2170.066,2160.502,1975.589,201842.437
1718965620000,255.736,175667.364,239.753,464.587,0,10.721,6.433,0,577.537,567.947,263.195,178053.272
1718965650000,0,167005.611,0,0,0,0,0,0,0,0,0,167005.611
1718965680000,0,157896.498,0,0,0,0,0,0,0,0,0,157896.498
1718965710000,0,149446.648,0,0,0,0,0,0,0,0,0,149446.648
1718965740000,0,139203.811,0,0,0,0,0,0,0,0,0,139203.811
1718965770000,0,130585.853,0,0,0,0,0,0,0,0,0,130585.853
1718965800000,0,123889.142,0,0,0,0,0,0,0,0,0,123889.142
1718965830000,0,116326.822,0,0,0,0,0,0,0,0,0,116326.822
1718965860000,0,107944.967,0,0,0,0,0,0,0,0,0,107944.967
1718965890000,0,100319.433,0,0,0,0,0,0,0,0,0,100319.433
1718965920000,0,87766.521,1530.412,0,0,0,0,0,0,0,0,89296.932
1718965950000,4463.785,96655.652,4556.843,1011.508,0,0,0,0,2962.707,2389.182,3209.515,115249.191
1718965980000,7539.78,100973.78,7600.471,2023.016,0,16.184,16.184,0,6040.725,5765.595,7436.606,137412.342
1718966010000,10463.038,111795.903,10532.832,3034.524,0,20.23,20.23,0,8978.144,8756.624,10293.105,163894.631
1718966040000,13589.609,115648.737,13666.484,4046.032,undefined,20.23,20.23,undefined,12059.198,11793.171,13449.01,184292.7
1718966070000,16599.857,124668.353,16678.754,5057.54,undefined,38.437,38.437,undefined,15085.629,14833.764,16451.165,209451.937
1718966100000,19641.461,130563.421,19717.324,6069.048,undefined,40.46,40.46,undefined,18120.153,17868.288,19524.126,231584.742
1718966130000,22411.981,140554.085,22472.672,6638.527,undefined,40.46,40.46,undefined,21179.965,20920.007,22307.796,256565.954
1718966160000,25600.254,146316.646,25674.094,8454.183,undefined,76.875,76.875,undefined,24970.085,23923.174,25446.505,280538.692
1718966190000,28575.099,148796.863,28687.377,10518.671,undefined,117.335,117.335,undefined,30923.821,26966.802,28257.486,302960.788
1718966220000,31537.806,154180.109,31628.842,12059.198,undefined,157.795,157.795,undefined,35971.245,29583.573,31260.653,326537.015
1718966250000,34554.123,166604.461,34659.319,14390.723,undefined,209.817,209.817,undefined,42814.096,33026.746,34410.488,360879.591
1718966280000,37496.599,180421.659,37575.497,16373.279,undefined,252.799,252.799,undefined,48465.391,36056.212,37329.7,394223.936
1718966310000,40221.895,190936.284,43041.554,19620.217,undefined,295.239,295.239,undefined,58009.602,40707.566,41483.291,434610.886
1718966340000,43244.09,206598.473,46110.445,21145.519,undefined,337.272,337.272,undefined,63477.799,43789.17,44218.322,469258.361
1718966370000,46286.71,219961.504,49112.455,23561.608,undefined,378.992,378.992,undefined,69680.131,46758.075,47296.935,503415.402
1718966400000,48807.468,236459.199,51657.708,26234.77,6038.043,622.059,629.555,684.988,74805.869,49442.916,49970.624,545353.201
1718966430000,51400.191,252038.444,54644.122,31429.994,9166.5,943.47,946.668,1745.433,79568.139,52766.665,52534.911,587184.538
1718966460000,54225.01,261996.74,57081.753,35549.235,10426.007,1255.271,1261.643,1496.956,83388.37,54895.032,55426.917,617002.934
1718966490000,56898.171,274416.034,59781.095,39489.211,9829.505,1569.564,1573.797,1372.717,87713.231,57672.392,58074.12,648389.838
1718966520000,59607.931,289480.422,62572.912,44172.907,9378.004,1857.059,1860.224,1298.173,91621.136,61310.83,60736.007,683895.606
1718966550000,62900.543,301673.138,65772.673,49260.102,9019.003,2165.544,2179.222,1248.478,96535.899,64321.089,63604.369,718680.061
1718966580000,65500.901,318653.322,68376.647,53719.438,8762.574,2495.021,2498.17,1212.981,100954.004,67564.705,66649.006,756386.769
1718966610000,69003.353,331220.297,71854.899,59325.739,8570.253,2810.934,2815.123,1186.358,106753.176,70432.025,70092.475,794064.631
1718966640000,72577.086,349544.775,75425.97,64637.338,8420.669,3117.677,3127.082,1165.652,111269.461,73636.582,73621.675,836543.967
1718966670000,76133.784,363063.578,78996.075,70848.431,8301.002,3426.875,3430.005,1149.087,117056.184,76419.494,77291.494,876116.009
1718966700000,79113.384,376682.521,81940.499,75719.583,8203.093,3734.433,3737.557,1135.533,122256.409,79762.94,80187.853,912473.805
1718966730000,82193.462,390310.567,85069.572,81897.856,8121.502,4039.386,4040.426,1124.239,127338.752,82190.29,83196.879,949522.93
1718966760000,85064.231,403208.305,87904.232,86732.915,8052.463,4339.729,4342.844,1114.682,132643.978,85519.03,86201.755,985124.164
1718966790000,87611.045,414265.098,90447.626,90158.304,7993.287,4649.007,4652.117,1106.49,136810.237,88589.51,88704.314,1014987.036
1718966820000,90819.675,429936.391,93717.179,95571.544,7942.001,4953.766,4957.907,1099.391,140823.645,91756.48,91760.686,1053338.666
1718966850000,94117.803,452593.486,96940.71,100752.369,7897.126,5237.513,5237.513,1093.179,146088.23,94741.322,95243.077,1099942.327
1718966880000,97052.315,465909.723,99884.378,105456.371,7857.531,5367.09,5367.09,1087.698,150886.537,97301.761,98037.522,1134208.015
1718966910000,100153.39,480631.799,103129.925,111248.26,7822.334,5402.849,5402.849,1082.826,156408.627,100317.705,101243.937,1172844.501
1718966940000,103078.568,491773.628,105947.934,117354.857,7790.843,5438.874,5438.874,1078.467,161869.818,103548.898,104212.586,1207533.345
1718966970000,106060.28,506179.787,108964.691,121686.587,7762.501,5475.139,5475.139,1074.543,166565.944,106343.163,107142.751,1242730.525
1718967000000,109113.947,518979.126,112180.747,127413.292,7736.858,5511.624,5511.624,1070.994,171885.536,109582.073,110295.208,1279281.028
1718967030000,112196.626,529149.696,115009.378,133643.083,7713.546,5548.31,5549.378,1067.767,178412.786,112047.704,112990.182,1313328.456
1718967060000,115212.527,543294.08,118191.21,135507.177,7692.262,5585.18,5586.245,1064.82,186306.198,115764.923,115892.879,1350097.5
1718967090000,117608.997,555323.792,120559.646,137601.423,8400.303,5622.22,5623.282,2124.239,192479.523,118568.209,118348.931,1382260.566
1718967120000,120803.982,569781.117,123657.474,139429.923,11552.137,5642.998,5644.057,2391.595,197345.217,121470.524,121918,1419637.023
1718967150000,123386.577,584319.804,126227.717,140357.674,15257.431,5639.331,5640.388,3172.023,201983.763,124585.663,124518.24,1455088.61
1718967180000,127008.31,598295.434,130072.796,141310.945,16106.837,5652.244,5653.299,3165.652,207728.52,127392.8,127819.781,1490206.618
1718967210000,130237.542,611146.114,133097.484,142255.705,16076.735,5653.018,5654.071,3159.736,219032.43,129829.556,131371.411,1527513.803
1718967240000,132985.27,622527.12,135849.128,143200.988,16048.71,5649.851,5650.902,3154.228,226889.969,133755.065,134017.872,1559729.103
1718967270000,136344.398,638326.04,139163.121,144152.758,16022.553,5665.246,5666.295,3149.087,234642.924,136765.189,137434.112,1597331.722
1718967300000,139304.2,650833.676,142115.184,145104.716,15998.084,5664.399,5665.447,3144.277,238549.803,139753.611,140470.604,1626604
1718967330000,142101.965,661969.242,144916.167,146058.762,15975.143,5661.634,5662.681,3139.769,241472.474,142784.388,143274.783,1653017.007
1718967360000,143997.24,675919.778,146822.213,146823.822,15953.594,5675.335,5676.38,3135.533,244278.415,145620.136,145171.338,1679073.784
1718967390000,143905.005,685125.215,146762.168,146761.097,15933.311,5672.796,5673.84,3131.547,244296.197,145835.149,145078.351,1688174.678
1718967420000,143816.536,694657.106,146704.525,146700.931,15914.188,5670.363,5671.405,3127.789,244146.01,145745.493,144989.161,1697143.506
1718967450000,143731.605,704030.703,146649.142,146643.173,15896.127,5668.029,5669.07,3124.239,244001.83,145659.423,144903.537,1705976.879
1718967480000,143650.005,713905.173,146595.889,146587.679,15879.043,5665.788,5666.828,3120.881,243863.303,145576.729,144821.272,1715332.591
1718967510000,143571.543,723192.716,146537.25,146534.32,15862.858,5663.635,5664.675,3117.7,243730.105,145497.215,144742.171,1724114.188
1718967540000,143496.043,733240.933,146463.005,146482.974,15847.502,5661.565,5662.604,3114.682,243601.933,145420.701,144666.054,1733657.996
1718967570000,143423.338,742376.197,146391.459,146433.53,15832.915,5659.574,5660.611,3111.815,243478.509,145347.022,144592.757,1742307.726
1718967600000,143353.277,752332.277,146322.469,146385.884,15819.039,5657.656,5658.692,3109.088,243359.572,145276.021,144522.125,1751796.1
1718967630000,143285.719,758856.53,146255.899,146339.94,15805.824,5655.807,5656.843,3106.49,243244.883,145207.556,144454.015,1757869.508
1718967660000,143220.531,769170.034,146191.625,146295.608,15793.223,5654.025,5655.06,3104.014,243134.219,145141.494,144388.296,1767748.128
1718967690000,143157.591,777957.527,146129.53,146252.804,15781.195,5652.305,5653.339,3101.65,243027.37,145077.71,144324.843,1776115.864
1718967720000,143096.784,787508.281,146069.504,146211.452,15769.702,5650.645,5651.678,3099.391,242924.144,145016.088,144263.54,1785261.208
1718967750000,143038.004,795995.303,146011.447,146171.477,15758.708,5649.041,5650.073,3097.23,242824.358,144956.519,144204.281,1793356.443
1718967780000,142981.152,805666.605,145955.262,146132.814,15748.183,5647.49,5648.522,3095.162,242727.844,144898.904,144146.965,1802648.902
1718967810000,142926.133,813990.945,145900.861,146095.397,15588.766,5645.99,5647.021,3063.83,242634.443,144843.148,144091.498,1810428.032
1718967840000,142872.861,823252.981,145848.16,146059.169,15588.766,5644.539,5645.569,3063.83,242544.008,144789.161,144037.792,1819346.835
1718967870000,142821.254,831787.909,145797.081,146024.073,15588.766,5643.133,5644.163,3063.83,242456.398,144736.862,143985.764,1827549.232
1718967900000,142771.235,840666.933,145747.549,145990.056,15588.766,5641.772,5642.801,3063.83,242371.484,144686.172,143935.336,1836105.934
1718967930000,142722.731,849954.637,145699.496,145957.07,15588.766,5640.452,5641.481,3063.83,242289.144,144637.018,143886.437,1845081.062
