"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1718965740000,undefined,undefined,2,undefined,undefined,17,93,18,22,9,undefined,7,14,20,120,undefined,undefined,undefined,11
1718965770000,undefined,undefined,2,undefined,3,17,94,18,22,10,undefined,7,10,20,120,undefined,undefined,undefined,11
1718965800000,undefined,undefined,2,undefined,3,17,94,18,22,10,undefined,7,17,20,120,undefined,undefined,undefined,11
1718965830000,undefined,undefined,2,undefined,3,17,94,18,40,10,undefined,7,10,20,120,undefined,undefined,undefined,11
1718965860000,undefined,undefined,2,undefined,undefined,16,94,18,40,11,undefined,7,11,20,120,undefined,undefined,undefined,11
1718965890000,2,undefined,2,undefined,undefined,19,85,18,40,11,undefined,7,12,20,120,undefined,undefined,undefined,11
1718965920000,10,11,2,3,undefined,28,112,14,77,7,14,8,11,20,120,undefined,7,4,13
1718965950000,11,12,2,7,undefined,28,124,24,65,7,14,8,11,20,120,undefined,8,9,14
1718965980000,11,11,2,7,undefined,29,124,25,64,7,14,9,11,20,120,undefined,9,8,14
1718966010000,13,12,2,7,undefined,30,109,55,67,8,14,9,17,20,120,undefined,10,9,15
1718966040000,19,19,2,14,undefined,29,109,54,39,7,25,9,11,20,120,undefined,14,18,17
1718966070000,20,21,2,15,undefined,29,122,56,17,7,28,10,13,20,120,undefined,15,20,17
1718966100000,20,22,2,8,undefined,31,134,57,17,7,42,10,10,20,120,undefined,14,19,17
1718966130000,22,25,2,19,undefined,33,134,55,19,7,35,10,11,20,120,undefined,43,18,19
1718966160000,28,31,2,23,undefined,34,168,80,18,7,40,10,10,20,120,undefined,26,22,20
1718966190000,29,32,2,26,undefined,35,144,47,16,7,36,11,10,20,120,undefined,23,19,21
1718966220000,25,22,2,23,undefined,38,131,93,22,7,27,10,15,20,120,undefined,23,20,21
1718966250000,32,37,2,31,undefined,35,131,58,16,7,44,10,11,20,120,undefined,23,26,22
1718966280000,26,34,2,20,undefined,40,142,93,17,7,41,10,13,20,120,undefined,20,22,21
1718966310000,25,57,2,29,undefined,37,142,59,17,7,46,11,10,20,120,undefined,21,24,21
1718966340000,29,36,2,29,27,39,151,68,16,7,40,11,12,20,120,9,21,26,22
1718966370000,24,31,2,19,17,41,210,90,17,7,36,11,11,20,120,14,20,23,22
1718966400000,22,26,2,28,19,43,210,57,17,7,34,11,10,20,120,19,17,21,21
1718966430000,20,33,2,29,21,45,166,87,15,7,33,11,15,20,120,18,16,20,21
1718966460000,21,33,2,29,20,43,169,88,15,7,34,12,10,20,120,21,17,20,22
1718966490000,19,33,2,27,30,42,172,66,16,7,30,12,12,20,120,21,17,17,21
1718966520000,18,30,2,24,366,42,176,75,15,7,30,12,10,20,120,undefined,15,17,22
1718966550000,18,28,2,23,undefined,42,187,59,15,7,27,12,12,20,120,undefined,15,18,21
1718966580000,17,25,2,18,undefined,40,166,97,15,7,26,12,10,20,120,undefined,15,14,21
1718966610000,16,27,2,17,undefined,46,159,102,15,7,24,12,11,20,120,undefined,13,13,20
1718966640000,14,29,2,13,undefined,42,157,82,21,7,23,12,19,20,120,undefined,12,12,20
1718966670000,14,29,2,11,undefined,41,157,81,21,7,23,12,11,20,120,undefined,11,14,20
1718966700000,14,27,2,12,undefined,41,156,84,23,7,20,12,12,20,120,undefined,12,14,20
1718966730000,14,28,2,12,undefined,41,172,46,23,7,21,13,11,20,120,undefined,13,14,19
1718966760000,14,27,2,12,undefined,42,172,50,22,7,24,13,11,20,120,undefined,13,14,20
1718966790000,15,24,2,12,undefined,41,158,34,16,7,22,13,11,20,120,undefined,12,14,19
1718966820000,14,24,2,11,undefined,43,158,55,16,7,24,13,12,20,120,undefined,12,14,19
1718966850000,15,28,2,12,undefined,42,171,56,21,7,24,13,17,20,120,undefined,12,16,19
1718966880000,15,24,2,12,undefined,41,150,40,15,7,22,13,10,20,120,undefined,13,15,19
1718966910000,15,27,2,12,undefined,46,150,66,16,7,25,13,11,20,120,undefined,12,15,19
1718966940000,14,34,2,12,undefined,45,148,62,16,7,26,13,11,20,120,undefined,12,18,20
1718966970000,14,31,2,11,undefined,46,173,78,17,7,27,13,10,20,120,undefined,13,16,20
1718967000000,14,28,2,12,undefined,44,142,68,16,9,26,12,10,20,120,undefined,14,15,20
1718967030000,14,33,2,13,undefined,47,149,63,16,7,26,13,12,20,120,undefined,14,22,20
1718967060000,17,37,2,15,7,44,189,133,21,7,28,13,15,20,120,10,16,16,21
1718967090000,20,29,2,14,17,46,189,70,21,8,24,13,13,20,120,12,15,20,21
1718967120000,19,29,2,18,19,43,180,70,19,7,33,13,11,20,120,12,16,21,21
1718967150000,19,24,2,19,19,45,180,62,19,7,31,13,12,20,120,31,14,19,21
