"Time","city-pole","event-store","ngsi-ld-city-airqualityobserved","ngsi-ld-city-crowdflowobserved","ngsi-ld-city-device","ngsi-ld-city-offstreetparking","ngsi-ld-city-parkingspot","ngsi-ld-city-streetlight","ngsi-ld-city-trafficflowobserved","ngsi-ld-city-weatherobserved","s4city-city-neighborhood","Total Number of Pods"
1718965740000,undefined,1,undefined,0,undefined,0,0,0,0,0,undefined,1
1718965770000,undefined,1,undefined,0,1,0,0,0,0,0,undefined,2
1718965800000,undefined,1,undefined,0,1,0,0,0,0,0,undefined,2
1718965830000,undefined,1,undefined,0,0,0,0,0,0,0,undefined,1
1718965860000,undefined,1,undefined,0,0,0,0,0,0,0,undefined,1
1718965890000,0,1,17,0,0,0,0,0,0,0,undefined,18
1718965920000,18,17,18,16,0,0,0,0,18,18,18,123
1718965950000,18,21,18,18,0,0,1,0,18,18,18,130
1718965980000,4,7,6,18,0,3,2,0,5,9,9,63
1718966010000,7,4,10,1,0,3,2,0,12,4,12,55
1718966040000,18,11,18,16,0,3,1,0,18,11,15,111
1718966070000,3,15,5,16,0,3,1,0,3,5,5,56
1718966100000,3,5,4,0,0,1,1,0,6,4,4,28
1718966130000,13,14,14,18,0,2,1,0,7,9,8,86
1718966160000,16,14,18,18,0,5,1,0,17,15,16,120
1718966190000,7,16,12,6,0,5,1,0,18,8,10,83
1718966220000,9,16,18,18,0,1,2,0,15,18,10,107
1718966250000,18,15,18,18,0,1,3,0,18,18,18,127
1718966280000,10,15,18,18,0,1,1,0,18,15,14,110
1718966310000,9,12,16,18,0,1,1,0,16,13,13,99
1718966340000,18,17,16,9,1,1,1,18,16,14,18,129
1718966370000,18,9,18,8,18,1,1,18,18,16,18,143
1718966400000,12,17,18,15,18,2,2,5,18,17,16,140
1718966430000,14,17,18,18,18,4,3,15,18,17,17,159
1718966460000,13,6,18,18,9,4,2,17,18,17,17,139
1718966490000,14,20,18,18,0,2,2,0,18,18,18,128
1718966520000,15,20,18,18,0,4,2,0,18,18,18,131
1718966550000,15,8,18,18,0,4,2,0,18,18,18,119
1718966580000,14,10,18,18,0,2,2,0,18,18,18,118
1718966610000,13,11,18,18,0,2,2,0,18,18,18,118
1718966640000,14,12,18,18,0,2,2,0,18,17,18,119
1718966670000,12,10,18,18,0,2,2,0,18,17,17,114
1718966700000,12,10,18,18,0,2,2,0,18,17,17,114
1718966730000,12,21,18,18,0,2,2,0,18,17,18,126
1718966760000,13,21,18,18,0,2,2,0,18,18,18,128
1718966790000,14,15,18,18,0,2,2,0,18,18,18,123
1718966820000,13,19,18,18,0,2,2,0,18,16,18,124
1718966850000,11,9,18,18,0,4,1,0,17,13,17,108
1718966880000,12,20,18,18,0,4,1,0,18,17,18,126
1718966910000,10,20,18,18,0,1,1,0,17,16,16,117
1718966940000,11,14,18,17,0,1,1,0,17,15,17,111
1718966970000,12,19,18,18,0,1,1,0,18,18,18,123
1718967000000,11,10,17,18,0,1,1,0,18,14,15,105
1718967030000,10,10,15,13,0,1,1,0,16,11,13,90
1718967060000,8,13,14,8,1,1,1,18,15,18,11,108
1718967090000,18,21,18,13,18,1,1,18,17,18,17,160
1718967120000,18,10,18,17,18,1,1,5,18,18,18,142
1718967150000,13,10,18,6,18,1,1,11,18,18,18,132
1718967180000,10,22,17,4,9,1,1,5,18,14,16,117
1718967210000,7,22,12,5,0,1,1,0,14,13,12,87
1718967240000,16,21,17,7,0,2,1,0,15,18,17,114
1718967270000,16,22,18,5,0,5,1,0,12,9,18,106
1718967300000,5,8,9,12,0,5,1,0,7,7,9,63
1718967330000,4,25,7,12,0,3,1,0,4,6,18,80
1718967360000,2,25,3,1,0,3,1,0,2,3,18,58
1718967390000,1,3,1,1,0,0,0,0,1,1,1,9
1718967420000,0,7,0,0,0,0,0,0,0,0,0,7
1718967450000,0,7,0,0,0,0,0,0,0,0,0,7
1718967480000,0,3,0,0,0,0,0,0,0,0,0,3
1718967510000,0,7,0,0,0,0,0,0,0,0,0,7
1718967540000,0,8,0,0,0,0,0,0,0,0,0,8
1718967570000,0,4,0,0,0,0,0,0,0,0,0,4
