"Time","city-pole-00001","event-store-00001","ngsi-ld-city-airqualityobserved-00001","ngsi-ld-city-crowdflowobserved-00001","ngsi-ld-city-device-00001","ngsi-ld-city-offstreetparking-00001","ngsi-ld-city-parkingspot-00001","ngsi-ld-city-streetlight-00001","ngsi-ld-city-trafficflowobserved-00001","ngsi-ld-city-weatherobserved-00001","s4city-city-neighborhood-00001","All Revisions"
1718965950000,undefined,413.533,99.733,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,513.267
1718965980000,101.367,479.5,100.3,33.333,undefined,undefined,undefined,undefined,101.433,111.267,139.3,1066.5
1718966010000,96.333,618,96.633,33.333,undefined,0.133,0.133,undefined,96.8,98.567,94.133,1134.067
1718966040000,103.033,432.3,103.267,33.333,undefined,0,0,undefined,101.533,100.067,104,977.533
1718966070000,99.2,547.6,99.267,33.333,undefined,0.6,0.6,undefined,99.733,100.2,98.933,1079.467
1718966100000,100.233,484.467,100.133,33.333,undefined,0.067,0.067,undefined,100,100,101.267,1019.567
1718966130000,91.3,524,90.8,18.767,undefined,0,0,undefined,100.833,100.567,91.733,1018
1718966160000,105.067,502.867,105.5,59.833,undefined,1.2,1.2,undefined,124.9,98.967,103.433,1102.967
1718966190000,98.033,388.8,99.3,68.033,undefined,1.333,1.333,undefined,196.2,100.3,92.633,1045.967
1718966220000,97.633,465.1,96.933,50.767,undefined,1.333,1.333,undefined,166.333,86.233,98.967,1064.633
1718966250000,99.4,454.5,99.867,76.833,undefined,1.333,1.333,undefined,225.5,113.467,103.8,1176.033
1718966280000,96.967,455.333,96.1,65.333,undefined,1.333,1.333,undefined,186.233,99.833,96.2,1098.667
1718966310000,104,346.5,103.4,75.5,undefined,1.333,1.333,undefined,220.467,97.5,105.567,1055.6
1718966340000,100.6,516.133,102.1,50.6,undefined,1.333,1.333,undefined,178.267,102.5,92.333,1145.2
1718966370000,101.233,440.367,100.033,77.467,undefined,1.333,1.333,undefined,200.9,99.133,102.533,1124.333
1718966400000,85.433,543.667,85.7,85.633,87.433,7.533,7.767,9.167,168.967,90.5,90.267,1262.067
1718966430000,87.467,513.4,99.5,162.933,98.7,10.133,10,24.167,158.1,109.867,86.8,1361.067
1718966460000,94.467,328.167,82.167,131.067,54.667,9.9,10,0,129.3,73.333,96.7,1009.767
1718966490000,89.767,409.267,90.367,126.6,0,10.033,9.967,0,144.633,93.067,89.133,1062.833
1718966520000,90.833,496.433,93.267,151.733,0,9.233,9.2,0,131.7,119.633,89.5,1191.533
1718966550000,108.867,401.8,106.233,164.967,0,9.933,10.267,0,162.8,100.3,95.833,1161
1718966580000,87.4,559.567,87.267,145.4,0,10.633,10.3,0,147.433,107.567,101.3,1256.867
1718966610000,115.5,414.133,115.167,182.267,0,10.233,10.267,0,190.533,95.867,113.767,1247.733
1718966640000,117.833,603.867,118.2,173.233,0,9.967,10.133,0,150.6,106.4,116.533,1406.767
1718966670000,117.4,445.5,118.233,202.333,0,10.067,9.867,0,190.467,93.2,121.033,1308.1
1718966700000,99.333,448.8,98.2,159.733,0,10.033,10.033,0,172.2,110.8,96.8,1205.933
1718966730000,102.5,449.1,104.133,201.9,0,9.967,9.9,0,168.567,81.967,100.333,1228.367
1718966760000,95.9,425.033,94.667,159,0,9.833,9.9,0,175.667,110.367,100.2,1180.567
1718966790000,85.633,364.367,85.267,113.767,0,10.133,10.133,0,139.7,102.233,84.3,995.533
1718966820000,106.567,516.433,108.667,177.867,0,10,10.033,0,134.8,105.3,101.8,1271.467
1718966850000,109.433,491.6,107.2,170.533,0,9.333,9.2,0,174.467,99.533,115.333,1286.633
1718966880000,97.9,445.2,98.167,155.267,0,4.367,4.367,0,159.7,86.033,93.5,1144.5
1718966910000,103.2,490.233,107.933,190.533,0,1.333,1.333,0,182.767,100.5,106.6,1284.433
1718966940000,97.6,374.267,94.1,200.867,0,1.333,1.333,0,180.9,107.367,99.033,1156.8
1718966970000,99.4,480.2,100.533,143.533,0,1.333,1.333,0,156.533,93.433,97.8,1174.1
1718967000000,101.7,427.733,107,188.8,0,1.333,1.333,0,176.467,107.633,104.9,1216.9
1718967030000,102.633,342.933,94.433,205.233,0,1.333,1.367,0,215.167,82.9,90.267,1136.267
1718967060000,100.5,471.133,105.9,63.633,0,1.333,1.333,0,259.067,122.967,96.9,1222.767
1718967090000,80.633,402.567,79.467,71.033,22.833,1.333,1.333,33.333,204.1,93.7,82.567,1072.9
1718967120000,106.233,481.2,103.167,62.333,99.767,0.8,0.8,8.567,162.2,96.867,118.267,1240.2
1718967150000,86.567,484.1,86,32.967,117.6,0,0,24.767,154.9,103.7,87.167,1177.767
1718967180000,119.967,465.9,127.5,33.7,27.8,0.533,0.533,0,190.467,93.8,109.7,1169.9
1718967210000,107.367,429.333,100.8,33.333,0,0.133,0.133,0,369.467,81.867,117.767,1240.2
1718967240000,91.867,381.1,91.9,33.267,0,0,0,0,258.767,129.8,88.633,1075.333
1718967270000,111.567,525.2,110.233,33.4,0,0.6,0.6,0,255.533,100.333,113.433,1250.9
1718967300000,98.7,418,98.433,33.333,0,0.067,0.067,0,131.567,99.633,101.2,981
1718967330000,93.467,373.233,93.5,33.333,0,0,0,0,99.733,101,93.7,887.967
1718967360000,64.3,465.467,64.267,27.1,0,0.533,0.533,0,95.867,94.7,64.367,877.133
1718967390000,0,312,0,0,0,0,0,0,5.633,9.967,0,327.6
1718967420000,0,322.567,0,0,0,0,0,0,0,0,0,322.567
1718967450000,0,317.2,0,0,0,0,0,0,0,0,0,317.2
1718967480000,0,333.4,0,0,0,0,0,0,0,0,0,333.4
1718967510000,0,314.033,0,0,0,0,0,0,0,0,0,314.033
1718967540000,0,338.767,0,0,0,0,0,0,0,0,0,338.767
1718967570000,0,308.733,0,0,0,0,0,0,0,0,0,308.733
