"Time","city-pole-00001","event-store-00001","ngsi-ld-city-airqualityobserved-00001","ngsi-ld-city-crowdflowobserved-00001","ngsi-ld-city-device-00001","ngsi-ld-city-offstreetparking-00001","ngsi-ld-city-parkingspot-00001","ngsi-ld-city-streetlight-00001","ngsi-ld-city-trafficflowobserved-00001","ngsi-ld-city-weatherobserved-00001","s4city-city-neighborhood-00001","All Revisions"
1718965950000,undefined,25666.692,7308.673,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,32975.365
1718965980000,7574.726,48504.872,10326.095,2490.867,undefined,undefined,undefined,undefined,7579.707,8314.513,10409.332,95200.112
1718966010000,10352.165,66832.185,13191.571,3490.867,undefined,9.963,9.963,undefined,10380.092,10987.503,12223.27,127477.58
1718966040000,13505.533,78559.323,16322.105,4490.867,undefined,6.982,6.982,undefined,13462.121,13917.196,15153.681,155424.789
1718966070000,16469.855,94949.668,19295.844,5490.867,undefined,32.933,32.933,undefined,16452.009,16888.533,17970.234,187582.876
1718966100000,19479.091,109156.478,22301.297,6490.867,undefined,32.945,32.945,undefined,19453.127,19865.947,20938.238,217750.935
1718966130000,22152.99,124789.681,24986.7,6945.282,undefined,31.156,31.156,undefined,22485.085,22872.113,23572.509,247866.672
1718966160000,25346.45,139776.948,28177.375,8925.114,undefined,74.909,74.909,undefined,26390.827,25823.151,26666.173,281255.855
1718966190000,28279.224,150952.247,31155.865,11150.582,undefined,121.298,121.298,undefined,32794.503,28826.135,29377.791,312778.944
1718966220000,31199.837,164739.475,34056.423,12731.25,undefined,166.09,166.09,undefined,38038.717,31338.55,32325.857,344762.289
1718966250000,34183.03,178262.672,37054.26,15198.969,undefined,209.817,209.817,undefined,45271.716,34804.686,35444.727,380639.697
1718966280000,37083.112,191796.155,39929.461,17245.345,undefined,252.799,252.799,undefined,51081.967,37795.091,38303.81,413740.54
1718966310000,40221.895,201842.757,43041.554,19620.217,undefined,295.239,295.239,undefined,58009.602,40707.566,41483.291,445517.359
1718966340000,43244.09,217383.349,46110.445,21145.519,undefined,337.272,337.272,undefined,63477.799,43789.17,44218.322,480043.236
1718966370000,46286.71,230538.034,49112.455,23561.608,undefined,378.992,378.992,undefined,69680.131,46758.075,47296.935,513991.932
