"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","queue-proxy","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1719020550000,undefined,undefined,0,undefined,undefined,1,3,undefined,0,0,undefined,undefined,6,33,1,0,undefined,undefined,undefined,4
1719020580000,undefined,undefined,0,undefined,undefined,0,3,0,0,0,undefined,6,8,32,1,0,undefined,undefined,undefined,5
1719020610000,undefined,undefined,0,undefined,undefined,0,undefined,0,0,0,undefined,5,8,27,0,0,undefined,undefined,undefined,4
1719020640000,undefined,undefined,0,undefined,undefined,0,1,0,2,0,undefined,undefined,5,18,1,0,undefined,undefined,undefined,3
1719020670000,undefined,undefined,0,undefined,undefined,0,1,0,0,0,undefined,undefined,2,27,0,0,undefined,undefined,undefined,2
1719020700000,undefined,undefined,0,undefined,undefined,6,undefined,13,0,2,undefined,0,7,32,1,0,undefined,undefined,undefined,4
1719020730000,3,5,0,0,undefined,87,421,26,15,6,1,14,24,31,5,0,undefined,2,3,16
1719020760000,4,2,0,2,undefined,96,305,37,0,6,4,22,25,31,7,0,undefined,3,5,17
1719020790000,2,2,0,1,undefined,108,392,26,0,6,3,13,17,31,7,0,undefined,1,2,14
1719020820000,6,3,0,1,undefined,99,388,30,2,6,13,33,24,31,3,0,undefined,9,15,21
1719020850000,4,4,0,2,undefined,90,318,36,2,6,18,17,28,33,7,0,undefined,14,3,22
1719020880000,12,8,0,3,undefined,100,355,38,0,6,6,36,32,25,8,1,undefined,4,5,26
1719020910000,5,11,0,2,undefined,98,151,5,0,6,12,26,20,30,8,0,undefined,12,7,15
1719020940000,6,11,0,4,undefined,96,undefined,9,0,9,9,22,24,30,8,0,undefined,3,4,17
1719020970000,7,7,0,2,undefined,128,406,19,0,6,15,39,8,24,10,0,undefined,8,8,18
1719021000000,3,7,0,3,undefined,107,432,8,0,9,10,28,19,26,14,0,undefined,5,9,18
1719021030000,7,13,0,8,undefined,75,undefined,16,1,8,18,35,30,32,14,0,undefined,16,8,23
1719021060000,3,11,0,2,undefined,97,undefined,8,3,8,11,21,21,25,8,0,undefined,27,9,15
1719021090000,6,9,0,4,undefined,91,511,11,0,9,16,39,26,30,13,0,undefined,9,5,20
1719021120000,8,6,0,5,undefined,26,432,16,0,10,10,36,45,31,13,0,0,16,6,23
1719021150000,6,11,0,undefined,undefined,152,448,32,0,10,4,23,24,29,16,0,0,17,2,23
1719021180000,3,7,0,3,4,168,835,25,0,13,5,24,39,30,18,0,2,1,6,26
