"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total Memory Usage"
1719020550000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719020580000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719020610000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719020640000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719020670000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719020700000,1887436800,1887436800,134217728,undefined,undefined,939524096,33554432,268435456,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,1887436800,524288000,77912419584
1719020730000,1887436800,1887436800,134217728,1887436800,undefined,939524096,33554432,671088640,1073741824,134217728,1207959552,51539607552,402653184,17179869184,20000000,undefined,1887436800,1887436800,82773617920
1719020760000,1887436800,2021654528,134217728,1887436800,undefined,939524096,33554432,671088640,1073741824,134217728,1207959552,51539607552,402653184,17179869184,20000000,undefined,1887436800,1887436800,82907835648
1719020790000,1572864000,2403336192,134217728,1887436800,undefined,939524096,33554432,402653184,1073741824,134217728,1207959552,51539607552,402653184,17179869184,20000000,undefined,2202009600,2202009600,83335654656
1719020820000,943718400,620756992,134217728,734003200,undefined,939524096,33554432,268435456,1073741824,134217728,268435456,51539607552,402653184,17179869184,20000000,undefined,419430400,419430400,75131596032
1719020850000,1363148800,754974720,134217728,524288000,undefined,939524096,33554432,536870912,1073741824,134217728,268435456,51539607552,402653184,17179869184,20000000,undefined,419430400,1048576000,76373110016
1719020880000,524288000,343932928,134217728,524288000,undefined,939524096,33554432,536870912,1073741824,134217728,469762048,51539607552,402653184,17179869184,20000000,undefined,524288000,943718400,75324534016
