"Time","ktwin.command.city-pole.updateairqualityindex","ktwin.command.ngsi-ld-city-offstreetparking.updatevehiclecount","ktwin.command.s4city-city-neighborhood.updateairqualityindex","ktwin.real.ngsi-ld-city-airqualityobserved","ktwin.real.ngsi-ld-city-crowdflowobserved","ktwin.real.ngsi-ld-city-device","ktwin.real.ngsi-ld-city-evchargingstation","ktwin.real.ngsi-ld-city-noiselevelobserved","ktwin.real.ngsi-ld-city-parkingspot","ktwin.real.ngsi-ld-city-streetlight","ktwin.real.ngsi-ld-city-trafficflowobserved","ktwin.real.ngsi-ld-city-weatherobserved","ktwin.store.ngsi-ld-city-airqualityobserved","ktwin.store.ngsi-ld-city-crowdflowobserved","ktwin.store.ngsi-ld-city-device","ktwin.store.ngsi-ld-city-offstreetparking","ktwin.store.ngsi-ld-city-streetlight","ktwin.store.ngsi-ld-city-trafficflowobserved","ktwin.store.ngsi-ld-city-weatherobserved","ktwin.store.s4city-city-neighborhood","ktwin.virtual.ngsi-ld-city-device"
1719017460000,3.394083333333333,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,3.394083333333333,undefined,undefined,undefined,undefined,3.394083333333333,3.394083333333333,undefined,undefined
1719017490000,5,undefined,5,5,undefined,undefined,undefined,5,undefined,undefined,5,5,5,1.6666666666666667,undefined,undefined,undefined,5,5,5,undefined
1719017520000,5,undefined,5,5,1.6666666666666667,undefined,undefined,5,undefined,undefined,5,5,5,1.6666666666666667,undefined,undefined,undefined,5,5,5,undefined
1719017550000,5,0,5,5,1.6666666666666667,undefined,0,5,0,undefined,5,5,5,1.6666666666666667,undefined,0,undefined,5,5,5,undefined
1719017580000,5,0.03333333333333333,5,5,1.6666666666666667,undefined,0,5,0,undefined,5,5,5,1.6666666666666667,undefined,0.03333333333333333,undefined,5,5,5,undefined
1719017610000,5,0,5,5,1.6666666666666667,undefined,0.03333333333333333,5,0.03333333333333333,undefined,5,5,5,1.6666666666666667,undefined,0,undefined,5,5,5,undefined
1719017640000,5,0,5,5,1.6666666666666667,undefined,0,5,0,undefined,5,5,5,1.6666666666666667,undefined,0,undefined,5,5,5,undefined
1719017670000,5,0.06666666666666667,5,5,1.6666666666666667,undefined,0,5,0,undefined,5,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,8.333333333333334,5,5,undefined
1719017700000,5,0.06666666666666667,5,5,3.3333333333333335,undefined,0.06666666666666667,5,0.06666666666666667,undefined,8.333333333333334,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,10,5,5,undefined
1719017730000,5,0.06666666666666667,5,5,3.3333333333333335,undefined,0.06666666666666667,5,0.06666666666666667,undefined,10,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,10,5,5,undefined
1719017760000,5,0.06666666666666667,5,5,3.3333333333333335,undefined,0.06666666666666667,5,0.06666666666666667,undefined,10,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,10,5,5,undefined
1719017790000,5,0.06666666666666667,5,5,3.3333333333333335,undefined,0.06666666666666667,5,0.06666666666666667,undefined,10,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,10,5,5,undefined
1719017820000,5,0.06666666666666667,5,5,3.3333333333333335,undefined,0.06666666666666667,5,0.06666666666666667,undefined,10,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,10,5,5,undefined
1719017850000,5,0.06666666666666667,5,5,3.3333333333333335,undefined,0.06666666666666667,5,0.06666666666666667,undefined,10,5,5,3.3333333333333335,undefined,0.06666666666666667,undefined,10,5,5,undefined
1719017880000,5,0.06666666666666667,5,5,3.3333333333333335,undefined,0.06666666666666667,5,0.06666666666666667,undefined,10,5,5,3.3333333333333335,undefined,0.06666666666666667,0,10,5,5,undefined
1719017910000,5,0.3333333333333333,5,5,3.3333333333333335,undefined,0.06666666666666667,5,0.06666666666666667,0,10,5,5,6.666666666666667,6.7,0.3,1.6666666666666667,10,5,5,6.7
1719017940000,5,0.5,5,5,8.333333333333334,6.7,0.16666666666666666,5,0.4,1.6666666666666667,10,5,5,10,0,0.5,0,10,5,5,0
1719017970000,5,0.5,5,5,10,0,0.2,5,0.5,0,10,5,5,10,0,0.5,0,10,5,5,0
1719018000000,5,0.4666666666666667,5,5,10,0,0.2,5,0.5,0,10,5,5,10,0,0.5,0,10,5,5,0
1719018030000,5,0.5,5,5,10,0,0.2,5,0.5,0,10,5,5,10,0,0.5,0,10,5,5,0
1719018060000,5,0.5,5,5,10,0,0.2,5,0.5,0,10,5,5,10,0,0.5,0,10,5,5,0
1719018090000,5,0.5,5,5,10,0,0.2,5,0.5,0,10,5,5,10,0,0.5,0,10,5,5,0
1719018120000,5,0.5,5,5,10,0,0.2,5,0.5,0,10,5,5,10,0,0.5,0,10,5,5,0
1719018150000,5,0.5,5,5,10,0,0.2,5,0.5,0,10,5,5,10,0,0.5,0,10,5,5,0
