"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total Memory Usage"
1719017340000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719017370000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719017400000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719017430000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719017460000,1258291200,1887436800,134217728,1153433600,undefined,939524096,33554432,268435456,1073741824,134217728,1207959552,51539607552,402653184,17179869184,20000000,undefined,1363148800,1258291200,79854382336
1719017490000,1258291200,1887436800,134217728,1153433600,undefined,939524096,33554432,268435456,1073741824,134217728,1207959552,51539607552,402653184,17179869184,20000000,undefined,1363148800,1258291200,79854382336
1719017520000,1258291200,2021654528,134217728,1153433600,undefined,939524096,33554432,536870912,1073741824,134217728,1207959552,51539607552,402653184,17179869184,20000000,undefined,1363148800,1258291200,80257035520
1719017550000,104857600,239075328,134217728,1153433600,undefined,939524096,33554432,402653184,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,undefined,104857600,104857600,73701338368
1719017580000,104857600,239075328,134217728,104857600,undefined,939524096,33554432,1073741824,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,209715200,73361599744
1719017610000,104857600,239075328,134217728,104857600,undefined,939524096,33554432,805306368,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,209715200,73093164288
1719017640000,104857600,239075328,134217728,209715200,undefined,939524096,33554432,805306368,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,209715200,209715200,73302879488
1719017670000,104857600,373293056,134217728,209715200,undefined,939524096,33554432,1342177280,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,209715200,314572800,74078825728
1719017700000,104857600,239075328,134217728,209715200,undefined,939524096,33554432,671088640,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,209715200,209715200,73168661760
1719017730000,104857600,239075328,134217728,209715200,undefined,939524096,33554432,1207959552,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,314572800,73705532672
1719017760000,104857600,239075328,134217728,104857600,undefined,939524096,33554432,671088640,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,209715200,209715200,73063804160
1719017790000,104857600,239075328,134217728,104857600,undefined,939524096,33554432,2147483648,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,undefined,209715200,314572800,74712165632
1719017820000,104857600,239075328,134217728,209715200,undefined,939524096,33554432,1610612736,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,undefined,209715200,209715200,74175294720
1719017850000,104857600,239075328,134217728,209715200,undefined,939524096,33554432,1610612736,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,671088640,209715200,209715200,74846383360
1719017880000,104857600,239075328,134217728,419430400,undefined,939524096,33554432,2281701376,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,671088640,209715200,314572800,75832044800
1719017910000,104857600,239075328,134217728,314572800,1207959552,939524096,33554432,805306368,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,671088640,209715200,209715200,75286785280
1719017940000,104857600,239075328,134217728,314572800,1207959552,939524096,33554432,2684354560,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,671088640,209715200,419430400,77442657536
1719017970000,104857600,239075328,134217728,314572800,1207959552,939524096,33554432,2013265920,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,67108864,209715200,314572800,76062731520
1719018000000,104857600,239075328,134217728,209715200,67108864,939524096,33554432,2013265920,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,67108864,209715200,314572800,74817023232
1719018030000,104857600,239075328,134217728,209715200,undefined,939524096,33554432,3355443200,1073741824,134217728,201326592,51539607552,402653184,17179869184,20000000,undefined,104857600,419430400,76092091648
1719018060000,104857600,343932928,134217728,209715200,undefined,939524096,33554432,1476395008,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,undefined,104857600,209715200,74041076992
1719018090000,104857600,343932928,134217728,209715200,undefined,939524096,33554432,3221225472,1073741824,134217728,201326592,51539607552,402653184,17179869184,20000000,undefined,104857600,419430400,76062731520
1719018120000,104857600,343932928,134217728,104857600,undefined,939524096,33554432,1879048192,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,undefined,104857600,314572800,74443730176
1719018150000,104857600,239075328,134217728,104857600,undefined,939524096,33554432,1879048192,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,undefined,104857600,314572800,74338872576
1719018180000,104857600,239075328,134217728,104857600,undefined,939524096,33554432,536870912,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,209715200,72824728832
1719018210000,104857600,239075328,134217728,104857600,undefined,939524096,33554432,536870912,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,209715200,72824728832
1719018240000,104857600,239075328,134217728,104857600,undefined,939524096,33554432,805306368,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,209715200,73093164288
1719018270000,104857600,239075328,134217728,104857600,undefined,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,209715200,72690511104
1719018300000,104857600,239075328,134217728,104857600,undefined,939524096,33554432,939524096,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,209715200,73227382016
1719018330000,104857600,239075328,134217728,209715200,undefined,939524096,33554432,671088640,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,209715200,73063804160
1719018360000,104857600,239075328,134217728,209715200,undefined,939524096,33554432,671088640,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,209715200,73063804160
1719018390000,104857600,343932928,134217728,209715200,undefined,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,209715200,72900226304
1719018420000,104857600,343932928,134217728,104857600,undefined,939524096,33554432,268435456,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,104857600,72556293376
1719018450000,104857600,343932928,134217728,104857600,undefined,939524096,33554432,536870912,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,104857600,72824728832
1719018480000,104857600,239075328,134217728,104857600,undefined,939524096,33554432,402653184,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,104857600,72585653504
1719018510000,104857600,343932928,134217728,104857600,undefined,939524096,33554432,1073741824,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,104857600,73361599744
1719018540000,104857600,343932928,134217728,209715200,undefined,939524096,33554432,805306368,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,104857600,73198021888
1719018570000,104857600,343932928,134217728,209715200,undefined,939524096,33554432,805306368,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,603979776,104857600,104857600,73802001664
1719018600000,104857600,239075328,134217728,209715200,undefined,939524096,33554432,1207959552,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,603979776,104857600,104857600,74099797248
1719018630000,104857600,239075328,134217728,104857600,1207959552,939524096,33554432,536870912,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,603979776,104857600,104857600,74531810560
1719018660000,104857600,239075328,134217728,104857600,1207959552,939524096,33554432,1207959552,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,603979776,104857600,104857600,75202899200
1719018690000,104857600,343932928,134217728,104857600,1207959552,939524096,33554432,805306368,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,67108864,104857600,104857600,74368232704
1719018720000,104857600,343932928,134217728,209715200,undefined,939524096,33554432,1744830464,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,104857600,74137545984
1719018750000,104857600,343932928,134217728,209715200,undefined,939524096,33554432,1342177280,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,104857600,73734892800
1719018780000,104857600,239075328,134217728,209715200,undefined,939524096,33554432,1342177280,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,104857600,73630035200
1719018810000,104857600,239075328,134217728,314572800,undefined,939524096,33554432,1342177280,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,104857600,73734892800
1719018840000,104857600,239075328,134217728,209715200,undefined,939524096,33554432,805306368,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,104857600,104857600,73093164288
1719018870000,104857600,239075328,134217728,209715200,undefined,939524096,33554432,3221225472,1073741824,134217728,603979776,51539607552,402653184,17179869184,20000000,undefined,104857600,629145600,76570242304
1719018900000,104857600,104857600,134217728,104857600,undefined,939524096,33554432,2550136832,1073741824,134217728,603979776,51539607552,402653184,17179869184,20000000,undefined,104857600,629145600,75660078336
1719018930000,104857600,104857600,134217728,104857600,undefined,939524096,33554432,2550136832,1073741824,134217728,603979776,51539607552,402653184,17179869184,20000000,undefined,104857600,629145600,75660078336
