"Time","city-pole","event-store","ngsi-ld-city-airqualityobserved","ngsi-ld-city-crowdflowobserved","ngsi-ld-city-device","ngsi-ld-city-offstreetparking","ngsi-ld-city-parkingspot","ngsi-ld-city-streetlight","ngsi-ld-city-trafficflowobserved","ngsi-ld-city-weatherobserved","s4city-city-neighborhood","Total Number of Pods"
1719017340000,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1
1719017370000,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1
1719017400000,undefined,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,1
1719017430000,undefined,1,1,undefined,undefined,undefined,undefined,undefined,0,1,undefined,3
1719017460000,18,2,12,11,undefined,undefined,undefined,undefined,13,12,18,86
1719017490000,18,1,12,11,undefined,undefined,undefined,undefined,13,12,18,85
1719017520000,1,3,1,1,undefined,1,1,undefined,1,1,1,11
1719017550000,1,3,1,1,undefined,1,1,undefined,1,1,1,11
1719017580000,1,5,1,1,undefined,0,1,undefined,1,2,1,13
1719017610000,1,6,1,1,undefined,1,1,undefined,1,2,1,15
1719017640000,1,1,1,2,undefined,1,1,undefined,2,1,1,11
1719017670000,1,5,1,2,undefined,1,1,undefined,2,2,1,16
1719017700000,1,5,1,1,undefined,1,1,undefined,1,2,1,14
1719017730000,1,5,1,1,undefined,1,1,undefined,1,2,1,14
1719017760000,1,5,1,1,undefined,1,1,undefined,2,2,1,15
1719017790000,1,12,1,1,undefined,1,1,undefined,2,2,2,23
1719017820000,1,12,1,2,undefined,1,1,undefined,1,2,2,23
1719017850000,1,1,1,2,undefined,1,1,9,2,1,1,20
1719017880000,1,6,1,3,1,1,1,10,2,2,1,29
1719017910000,1,6,1,3,18,1,1,1,2,2,1,37
1719017940000,1,15,1,1,18,1,1,1,2,3,2,46
1719017970000,1,15,1,1,0,1,1,0,1,3,2,26
1719018000000,1,1,1,2,0,1,1,0,1,1,1,10
1719018030000,1,11,1,2,0,1,1,0,1,2,2,22
1719018060000,2,11,1,1,0,1,1,0,1,2,2,22
1719018090000,2,14,1,1,0,1,1,0,1,3,2,26
1719018120000,1,14,1,1,0,1,1,0,1,3,2,25
1719018150000,1,1,1,1,0,1,1,0,1,1,1,9
1719018180000,1,4,1,1,0,1,1,0,1,2,1,13
1719018210000,1,4,1,1,0,1,1,0,1,2,1,13
1719018240000,1,3,1,1,0,1,1,0,1,1,1,11
1719018270000,1,3,1,1,0,1,1,0,1,1,1,11
1719018300000,1,5,1,1,0,1,1,0,1,2,1,14
1719018330000,1,5,1,2,0,1,1,0,1,2,1,15
1719018360000,1,1,1,2,0,1,1,0,1,1,1,10
1719018390000,2,2,1,1,0,1,1,0,1,1,1,11
1719018420000,2,2,1,1,0,1,1,0,1,1,1,11
1719018450000,1,3,1,1,0,1,1,0,1,1,1,11
1719018480000,1,3,1,1,0,1,1,0,1,1,1,11
1719018510000,2,6,1,1,0,1,1,0,1,1,1,15
1719018540000,2,6,1,2,0,1,1,0,1,1,1,16
1719018570000,1,1,1,2,0,1,1,9,1,1,1,19
1719018600000,1,4,1,1,1,1,1,9,1,1,1,22
1719018630000,1,4,1,1,18,1,1,1,1,1,1,31
1719018660000,1,6,1,1,18,1,1,1,1,1,1,33
1719018690000,2,6,1,1,0,0,0,0,1,1,1,13
1719018720000,2,9,1,2,0,1,1,0,1,1,1,19
1719018750000,1,10,1,2,0,1,1,0,1,1,1,19
1719018780000,1,5,1,1,0,0,1,0,1,1,1,12
1719018810000,1,6,1,2,0,1,1,0,1,1,1,15
1719018840000,1,1,1,2,0,1,1,0,1,1,1,10
1719018870000,1,19,1,1,0,0,0,0,1,6,9,38
1719018900000,1,19,1,1,0,0,0,0,1,6,9,38
1719018930000,0,1,0,0,0,0,0,0,0,0,0,1
1719018960000,0,1,0,0,0,0,0,0,0,0,0,1
1719018990000,0,1,0,0,0,0,0,0,0,0,0,1
1719019020000,0,1,0,0,0,0,0,0,0,0,0,1
1719019050000,0,1,0,0,0,0,0,0,0,0,0,1
1719019080000,0,1,0,0,0,0,0,0,0,0,0,1
1719019110000,0,1,0,0,0,0,0,0,0,0,0,1
1719019140000,0,1,0,0,0,0,0,0,0,0,0,1
