"Time","city-pole-00001","city-pole-00002","event-store-00001","ngsi-ld-city-airqualityobserved-00001","ngsi-ld-city-airqualityobserved-00002","ngsi-ld-city-crowdflowobserved-00001","ngsi-ld-city-crowdflowobserved-00002","ngsi-ld-city-device-00001","ngsi-ld-city-device-00002","ngsi-ld-city-offstreetparking-00001","ngsi-ld-city-offstreetparking-00002","ngsi-ld-city-parkingspot-00001","ngsi-ld-city-parkingspot-00002","ngsi-ld-city-streetlight-00001","ngsi-ld-city-streetlight-00002","ngsi-ld-city-trafficflowobserved-00001","ngsi-ld-city-trafficflowobserved-00002","ngsi-ld-city-weatherobserved-00001","ngsi-ld-city-weatherobserved-00002","s4city-city-neighborhood-00001","s4city-city-neighborhood-00002","All Revisions"
1719017340000,undefined,0,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,0
1719017370000,undefined,0,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,0
1719017400000,undefined,0,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,0
1719017430000,undefined,0,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,0
1719017460000,undefined,0,254.379,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,254.379
1719017490000,undefined,0,1526.271,348.63,0,undefined,0,undefined,0,undefined,0,undefined,0,undefined,0,348.63,0,348.63,0,undefined,0,2572.161
1719017520000,373.63,0,2696.412,498.63,0,124.543,0,undefined,0,undefined,0,undefined,0,undefined,0,498.63,0,498.63,0,373.63,0,5064.106
1719017550000,523.63,0,3869.606,648.63,0,174.543,0,undefined,undefined,undefined,0,undefined,0,undefined,undefined,648.63,0,648.63,0,523.63,0,7037.3
1719017580000,673.63,0,5039.747,798.63,0,224.543,0,undefined,undefined,0,0,0,0,undefined,undefined,798.63,0,798.63,0,673.63,0,9007.441
1719017610000,823.63,0,6212.941,948.63,0,274.543,0,undefined,undefined,1.745,0,1.745,0,undefined,undefined,948.63,0,948.63,0,823.63,0,10984.125
1719017640000,973.63,0,7383.082,1098.63,0,324.543,0,undefined,undefined,1.497,0,1.497,0,undefined,undefined,1098.63,0,1098.63,0,973.63,0,12953.77
1719017670000,1123.63,0,8553.224,1248.63,0,374.543,0,undefined,undefined,1.373,0,1.373,0,undefined,undefined,1248.63,0,1248.63,0,1123.63,0,14923.662
1719017700000,1273.63,0,9932.973,1398.63,0,485.192,0,undefined,undefined,3.895,0,3.895,0,undefined,undefined,1511.016,0,1398.63,0,1273.63,0,17281.49
1719017730000,1423.63,0,11363.598,1548.63,0,593.179,0,undefined,undefined,6.242,0,6.242,0,undefined,undefined,1826.154,0,1548.63,0,1423.63,0,19739.936
1719017760000,1573.63,0,12794.223,1698.63,0,699.391,0,undefined,undefined,8.491,0,8.491,0,undefined,undefined,2138.265,0,1698.63,0,1573.63,0,22193.38
1719017790000,1723.63,undefined,14224.847,1848.63,undefined,804.361,undefined,undefined,undefined,10.677,undefined,10.677,undefined,undefined,undefined,2448.173,undefined,1848.63,undefined,1723.63,undefined,24643.256
1719017820000,1873.63,undefined,16432.9,1998.63,undefined,908.427,undefined,undefined,undefined,12.822,undefined,12.822,undefined,undefined,undefined,2756.431,undefined,1998.63,undefined,1873.63,undefined,27867.921
1719017850000,2023.63,undefined,17849.852,2148.63,undefined,1011.815,undefined,undefined,undefined,14.938,undefined,14.938,undefined,undefined,undefined,3063.417,undefined,2148.63,undefined,2023.63,undefined,30299.481
1719017880000,2173.63,undefined,19374.102,2298.63,undefined,1114.682,undefined,undefined,undefined,17.033,undefined,17.033,undefined,undefined,undefined,3369.406,undefined,2298.63,undefined,2173.63,undefined,32836.776
1719017910000,2323.63,undefined,21001.923,2448.63,undefined,1217.14,undefined,undefined,undefined,19.112,undefined,19.112,undefined,0,undefined,3674.596,undefined,2448.63,undefined,2323.63,undefined,35476.403
1719017940000,2473.63,undefined,22967.006,2598.63,undefined,1429.208,undefined,500.664,undefined,30.058,undefined,30.058,undefined,87.272,undefined,3979.138,undefined,2598.63,undefined,2473.63,undefined,39167.924
1719017970000,2623.63,undefined,24831.574,2748.63,undefined,1749.087,undefined,350.832,undefined,45.973,undefined,45.973,undefined,74.848,undefined,4283.145,undefined,2748.63,undefined,2623.63,undefined,42125.95
1719018000000,2773.63,undefined,26692.961,2898.63,undefined,2060.744,undefined,300.888,undefined,61.765,undefined,61.765,undefined,68.636,undefined,4586.707,undefined,2898.63,undefined,2773.63,undefined,45177.986
1719018030000,2923.63,undefined,28551.671,3048.63,undefined,2371.106,undefined,275.916,undefined,77.459,undefined,77.459,undefined,64.909,undefined,4889.894,undefined,3048.63,undefined,2923.63,undefined,48252.933
1719018060000,3073.63,undefined,30408.106,3198.63,undefined,2680.377,undefined,260.933,undefined,93.071,undefined,93.071,undefined,62.424,undefined,5192.762,undefined,3198.63,undefined,3073.63,undefined,51335.264
1719018090000,3223.63,undefined,32262.592,3348.63,undefined,2988.721,undefined,250.944,undefined,108.615,undefined,108.615,undefined,60.649,undefined,5495.357,undefined,3348.63,undefined,3223.63,undefined,54420.014
1719018120000,3373.63,undefined,34115.395,3498.63,undefined,3296.271,undefined,243.809,undefined,124.102,undefined,124.102,undefined,59.318,undefined,5797.717,undefined,3498.63,undefined,3373.63,undefined,57505.233
1719018150000,3523.63,undefined,35966.735,3648.63,undefined,3603.134,undefined,238.458,undefined,139.54,undefined,139.54,undefined,58.283,undefined,6099.871,undefined,3648.63,undefined,3523.63,undefined,60590.08
