"Time","city-pole-00001 (p99)","event-store-00001 (p99)","ngsi-ld-city-airqualityobserved-00001 (p99)","ngsi-ld-city-crowdflowobserved-00001 (p99)","ngsi-ld-city-device-00001 (p99)","ngsi-ld-city-offstreetparking-00001 (p99)","ngsi-ld-city-parkingspot-00001 (p99)","ngsi-ld-city-streetlight-00001 (p99)","ngsi-ld-city-trafficflowobserved-00001 (p99)","ngsi-ld-city-weatherobserved-00001 (p99)","s4city-city-neighborhood-00001 (p99)"
1719017490000,undefined,190.32608695652172,309.06305461607985,undefined,undefined,,,,139.7657636540199,146.5885878846733,undefined
1719017520000,550,149.0384615384612,275,136.35435153869332,undefined,,,,262.5,225,375
1719017550000,562.5000000000002,288.92647058823536,245.83333333333334,58.75,undefined,,,,145.83333333333334,475,237.50000000000006
1719017580000,425,39.02777777777777,312.5,198.33333333333334,undefined,,,,59.85294117647059,193.18181818181822,112.5
1719017610000,425,580.2121212121211,325,295.83333333333337,undefined,4970,4970,,240.62500000000003,591.6666666666667,625
1719017640000,525,162.49999999999866,442.5,387.50000000000006,undefined,,,,481.2500000000001,197,141.66666666666674
1719017670000,262.5,476.24999999999966,435.00000000000006,497.9166666666667,undefined,,,,341.6666666666667,725,491.66666666666674
1719017700000,725,257.3333333333356,191.66666666666674,150.00000000000065,undefined,4940.272754421476,4940.272754421476,,232.14285714285708,175,145.00000000000003
1719017730000,412.5,237.12499999999886,312.5,375.00000000000017,undefined,79.6,59.60181836280984,,283.3333333333334,425,375
1719017760000,662.5000000000002,497.1388888888887,243.75000000000003,375.00000000000017,undefined,39.8,39.8,,383.3333333333333,596.6666666666667,525
1719017790000,325,229.39999999999884,312.5,395,undefined,59.6,59.6,,420,187.5,412.5
1719017820000,481.2500000000001,849.3999999999993,339.28571428571433,500.0000000000013,undefined,39.8,39.8,,178.57142857142873,950,1250
1719017850000,562.5000000000002,220.9999999999997,147.72727272727275,197.3684210526316,undefined,149,59.6,,425,262.5,325
1719017880000,670.0000000000001,299.85714285714266,246.25,300.0000000000007,undefined,99.6,79.6,,335.00000000000006,262.5,375
1719017910000,335.00000000000006,675.8571428571424,425,575.0000000000001,undefined,39.8,39.8,,237.50000000000006,775,675
1719017940000,692.8571428571429,173.4374999999974,212.5,250.00000000000134,290.0099342553217,77.99999999999999,77.99999999999999,572.7087030773866,440.90909090909093,212.5,325
1719017970000,583.3333333333334,1646.923076923076,237.5,285.00000000000006,,785,97,,128.57142857142873,1500,975
1719018000000,381.2500000000001,129.6521739130434,281.2500000000001,394.2307692307693,,58.5,97,,97.14285714285715,225,225
1719018030000,162.5,1677.8947368421052,362.5,540,,985,57,,291.6666666666667,1785.7142857142865,1850.0000000000005
1719018060000,497.5,392.4444444444448,550,236.36363636363643,,292.5,785,,225,225,425
1719018090000,55,97.3777777777779,275,228.57142857142873,,57,57,,245.58823529411768,287.50000000000006,335.00000000000006
1719018120000,387.5,1814.5454545454538,287.50000000000006,370,,585,97,,245.83333333333337,1916.666666666667,1812.5000000000007
1719018150000,74.00000000000003,93.94285714285706,291.6666666666667,400,,39.769230769230774,19.9,,338.4615384615385,285.00000000000006,231.2500000000001
1719018180000,550,380.33333333333377,291.66666666666674,400,,59,97,,244.73684210526318,570.0000000000001,550
1719018210000,578.5714285714287,551.2727272727269,312.5,320,,97,37,,390.00000000000006,650,675
1719018240000,487.50000000000006,441.0000000000001,175,412.5,,142.5,97,,312.5,137.5,375
1719018270000,550,242.75675675675683,191.66666666666669,300,,97,19.9,,378.5714285714287,293.75000000000006,343.75000000000006
1719018300000,281.2500000000001,99.7942857142857,275,281.2500000000001,,39.8,97,,290.00000000000006,197.22222222222223,197.91666666666669
1719018330000,375,488.5263157894738,287.50000000000006,441.66666666666674,,192.5,37,,387.50000000000006,691.6666666666667,525
1719018360000,340.62500000000006,211.7142857142863,275,96.00000000000004,,97,19.9,,288.88888888888897,148.0769230769231,231.2500000000001
1719018390000,789.2857142857143,258.00000000000136,175,120,,242.5,19.892892080440426,,350,343.18181818181824,375
1719018420000,212.5,170.03703703703732,146.42857142857144,266.66666666666697,,78.6,58.6,,220,341.6666666666667,198.61111111111111
1719018450000,325,175.8799999999998,262.5,445.4545454545455,,149,149,,292.10526315789474,275,337.5
1719018480000,94.00000000000003,298.037037037037,231.2500000000001,483.3333333333334,,79.6,59.6,,325,312.5,325
1719018510000,262.5,79.97209302325578,337.5,340.00000000000006,,39.8,39.8,,296.875,362.5,312.5
1719018540000,750,624.4999999999994,140.62500000000003,441.6666666666667,,39.8,79.6,,242.30769230769235,525,562.5000000000002
1719018570000,340.62500000000006,1330.4761904761835,212.5,96.66666666666669,,79.8,79.6,,185.00000000000009,375,285.00000000000006
1719018600000,162.5,411.74999999999903,175,200.00000000000065,,39.8,39.8,,285.00000000000006,325,437.5
1719018630000,289.28571428571433,398.25000000000045,262.5,293.75000000000006,,59.6,39.8,,283.3333333333334,212.5,850
1719018660000,191.66666666666669,255.99999999999937,246.42857142857144,97.50000000000001,94.25714285714284,39.8,39.8,286.3543515386933,233.3333333333334,212.5,198.0769230769231
1719018690000,94.00000000000003,831.8181818181813,362.5,346.42857142857144,,,,,281.2500000000001,725,675
1719018720000,691.6666666666667,374.9999999999893,212.5,95.00000000000001,,,,,197.5,312.5,375
1719018750000,39.642857142857146,768.9047619047622,146.0526315789474,425.00000000000017,,4970,4970,,235.00000000000009,393.75000000000006,650
1719018780000,550,291.6666666666637,362.5,141.66666666666669,,,,,412.5,362.5,475
1719018810000,339.28571428571433,1359.444444444443,193.75000000000003,237.50000000000006,,4970,4970,,135.00000000000009,293.75000000000006,775
1719018840000,143.18181818181822,152.77777777777757,195.00000000000003,487.50000000000006,,,,,398.0769230769231,240.62500000000003,387.50000000000006
1719018870000,76.25000000000001,224.99999999999892,185.00000000000009,95.00000000000001,,,,,287.5,262.5,162.5
1719018900000,568.3333333333333,4784.299999999998,134.16666666666666,77.79999999999998,,,,,140.89999999999992,4767.499999999999,4941.836734693878
1719018930000,,,,,,,,,,,
1719018960000,,,,,,,,,,,
1719018990000,,,,,,,,,,,
1719019020000,,,,,,,,,,,
1719019050000,,,,,,,,,,,
1719019080000,,,,,,,,,,,
1719019110000,,,,,,,,,,,
1719019140000,,,,,,,,,,,
