"Time","city-pole","event-store","ngsi-ld-city-airqualityobserved","ngsi-ld-city-crowdflowobserved","ngsi-ld-city-device","ngsi-ld-city-offstreetparking","ngsi-ld-city-parkingspot","ngsi-ld-city-streetlight","ngsi-ld-city-trafficflowobserved","ngsi-ld-city-weatherobserved","s4city-city-neighborhood"
1719020760000,25,182.167,25,undefined,undefined,undefined,undefined,undefined,25,24.833,25
1719020790000,25,209.8,25,13.133,undefined,undefined,undefined,undefined,25,25.1,25
1719020820000,25,191.133,25,8.333,undefined,0,0,undefined,25,24.933,25
1719020850000,25,190.1,25,6.933,undefined,0,0,undefined,25,25.033,25
1719020880000,25,192.967,25,9.733,undefined,0.167,0.167,undefined,25,24.933,25
1719020910000,25,192.233,25,8.333,undefined,0,0,undefined,25,25,25
1719020940000,24.967,154.233,24.967,1.3,undefined,0,0.167,undefined,25,25,24.967
1719020970000,23.033,224.3,23.033,15.367,undefined,0.5,0.333,undefined,48.6,25,23.033
1719021000000,27,281.7,27,25,undefined,0.333,0.333,undefined,51.4,25,27
1719021030000,23.3,189.1,23.333,8.933,undefined,0.333,0.333,undefined,48.4,25,22.467
1719021060000,24.667,237.433,24.633,16.1,undefined,0.333,0.333,undefined,49.667,25,25.5
1719021090000,27.033,248.467,27.033,24.967,undefined,0.333,0.333,undefined,51.933,25,27.033
1719021120000,24.367,225.333,24.367,8.533,undefined,0.333,0.333,undefined,48.2,25,24.1
1719021150000,25.633,277.267,25.633,23.333,undefined,0.333,0.333,undefined,51.8,25,25.9
1719021180000,23.6,209.433,23.6,9.833,undefined,0.333,0.333,0,47.667,25,21.433
1719021210000,26.4,366.867,26.4,58.3,33.5,2.8,2.8,8.333,52.333,25,28.567
1719021240000,25,321.033,25,50,0,2.433,2.5,0,50,25,25
1719021270000,25,341.033,25,50,0,2.567,2.5,0,50,25,25
1719021300000,25,274.3,25,45.6,0,2.433,2.433,0,50,25,25
1719021330000,25,292.067,25,54.367,0,2.533,2.567,0,50,25,25
1719021360000,25,351.367,25,49.933,0,2.5,2.467,0,50,25,25
1719021390000,24.533,299.267,24.533,49.8,0,2.467,2.467,0,50,25,23.433
1719021420000,25.467,285.867,25.467,47.267,0,2.5,2.5,0,50,25,26.567
1719021450000,25,295.4,25,52.7,0,2.5,2.5,0,50,25,25
1719021480000,25,305.967,25,49.733,0,2.5,2.5,0,50,25,25
1719021510000,25,304.167,25,50.167,0,2.5,2.5,0,50,25,25
1719021540000,25,266.767,25,49.833,0,2.5,2.5,0,50,25,25
1719021570000,25,346,25,50.2,0,2.5,2.5,0,50,25,25
1719021600000,25,257.1,25,49.867,0,2.5,2.5,0,50,25,25
1719021630000,20.933,368.2,21,45.967,0,2.5,2.5,0,50,25,20.833
1719021660000,29.067,295.3,29,53.1,0,2.267,2.267,0,50,25,29.167
1719021690000,25,261.5,25,17.667,0,0.333,0.333,0,50,25,24.833
1719021720000,25,215.433,25,16.7,0,0.333,0.333,0,50,25,25.167
1719021750000,21.6,214.2,22.367,9.6,0,0.333,0.333,0,47.633,25,20.833
1719021780000,28.4,241.567,27.633,23.733,0,0.333,0.333,0,52.367,25,29.167
1719021810000,25,247.467,25,15.067,undefined,0.333,0.333,undefined,50,25,25
1719021840000,24.367,218.3,24.367,11.133,undefined,0.333,0.333,undefined,47.767,25,22.633
1719021870000,25.633,292.633,25.633,23.767,undefined,0.333,0.333,undefined,52.233,25,27.367
1719021900000,22.433,226.667,22.533,8.8,undefined,0.333,0.333,0,47.367,25,21.767
1719021930000,27.567,247,27.467,10.8,33.5,0,0,8.333,27.633,25,28.233
1719021960000,25,227.1,25,12.9,0,0,0,0,25,25,25
1719021990000,25,126.567,25,9.033,0,0.167,0.167,0,25,25,25
1719022020000,25,253,25,3.2,0,0,0,0,25,25,25
1719022050000,25,186.633,25,13.5,0,0,0,0,25,25,24.967
1719022080000,24.567,178.067,24.633,8.367,0,0.167,0.167,0,25,25,24.433
1719022110000,23.067,179.5,23.067,6.067,0,0,0,0,25,25,23.1
1719022140000,25.033,192.4,24.967,8.9,0,0,0.167,0,25,25,25.167
1719022170000,0,44.267,0,0.4,0,0.167,0,0,5.433,6.1,0
1719022200000,0,0,0,0,0,0,0,0,0,0,0
1719022230000,0,0,0,0,0,0,0,0,0,0,0
1719022260000,0,0,0,0,0,0,0,0,0,0,0
1719022290000,0,0,0,0,0,0,0,0,0,0,0
1719022320000,0,0,0,0,0,0,0,0,0,0,0
1719022350000,0,0,0,0,0,0,0,0,0,0,0
1719022380000,0,0,0,0,0,0,0,0,0,0,0
