"Time","city-pole","event-store","ngsi-ld-city-airqualityobserved","ngsi-ld-city-crowdflowobserved","ngsi-ld-city-device","ngsi-ld-city-offstreetparking","ngsi-ld-city-parkingspot","ngsi-ld-city-streetlight","ngsi-ld-city-trafficflowobserved","ngsi-ld-city-weatherobserved","s4city-city-neighborhood"
1719006000000,5,38.333,5,undefined,undefined,undefined,undefined,undefined,5,5,5
1719006030000,5,38.333,5,1.667,undefined,undefined,undefined,undefined,5,5,5
1719006060000,5,38.433,5,1.667,undefined,undefined,undefined,undefined,5,5,5
1719006090000,5,38.333,5,1.667,undefined,0,0,undefined,5,5,5
1719006120000,5,38.433,5,1.667,undefined,0.033,0.033,undefined,5,5,5
1719006150000,5,38.333,5,1.667,undefined,0,0,undefined,5,5,5
1719006180000,5,38.333,5,1.667,undefined,0,0,undefined,5,5,5
1719006210000,5,40.1,5,1.667,undefined,0.033,0.033,undefined,6.667,5,5
1719006240000,5,46.867,5,3.333,undefined,0.067,0.067,undefined,10,5,5
1719006270000,4.933,40.3,5,3.333,undefined,0.067,0.067,undefined,10,5,4.933
1719006300000,5.067,46.733,5,3.333,undefined,0.067,0.067,undefined,10,5,5.067
1719006330000,5,53.567,5,3.333,undefined,0.067,0.067,undefined,10,5,5
1719006360000,5,46.867,5,3.333,undefined,0.067,0.067,undefined,10,5,5
1719006390000,5,48.533,5,3.333,undefined,0.067,0.067,undefined,10,5,5
1719006420000,5,53.567,5,3.333,undefined,0.067,0.067,0,10,5,5
1719006450000,5,64.033,5,6.667,6.7,0.267,0.267,1.667,10,5,5
1719006480000,5,61.1,5,10,0,0.5,0.5,0,10,5,5
1719006510000,5,50.467,5,10,0,0.5,0.5,0,10,5,5
1719006540000,5,72.033,5,10,0,0.5,0.5,0,10,5,5
1719006570000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719006600000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719006630000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719006660000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719006690000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719006720000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719006750000,4.4,52.333,4.967,9.8,0,0.467,0.5,0,8.667,3.833,4.4
1719006780000,5.6,70.067,5.033,10.2,0,0.533,0.5,0,11.333,6.167,5.6
1719006810000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719006840000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719006870000,5,61.2,5,10,0,0.5,0.5,0,10,5,5
1719006900000,5,50.767,5,10,0,0.5,0.5,0,10,5,5
1719006930000,5,57.567,5,6.667,0,0.3,0.3,0,10,5,5
1719006960000,5,53.8,5,3.333,0,0.067,0.067,0,10,5,5
1719006990000,5,39.967,5,3.333,0,0.067,0.067,0,10,5,5
1719007020000,5,53.767,5,3.333,0,0.067,0.067,0,10,5,5
1719007050000,5,46.867,5,3.333,0,0.067,0.067,0,10,5,5
1719007080000,5,46.867,5,3.333,0,0.067,0.067,0,10,5,5
1719007110000,5,50.2,5,3.333,undefined,0.067,0.067,1.667,10,5,5
1719007140000,5,53.567,5,3.333,undefined,0.067,0.067,0,10,5,5
1719007170000,5,55.233,5,3.333,6.7,0.067,0.067,1.667,8.333,5,5
1719007200000,4.967,35.5,5,1.667,0,0,0,0,5,5,4.967
1719007230000,5.033,38.6,5,1.667,0,0,0,0,5,5,5.033
1719007260000,5,41,5,1.667,0,0.033,0.033,0,5,5,5
1719007290000,5,30.067,5,1.667,0,0,0,0,5,5,5
1719007320000,5,46.7,5,1.667,0,0.033,0.033,0,5,5,5
1719007350000,5,38.333,5,1.667,0,0,0,0,5,5,5
1719007380000,5,38.333,5,1.667,0,0,0,0,5,5,5
1719007410000,2.9,21.5,2.9,0.867,0,0.033,0.033,0,2.567,2.933,2.9
1719007440000,0,0,0,0,0,0,0,0,0,0,0
1719007470000,0,0,0,0,0,0,0,0,0,0,0
1719007500000,0,0,0,0,0,0,0,0,0,0,0
1719007530000,0,0,0,0,0,0,0,0,0,0,0
1719007560000,0,0,0,0,0,0,0,0,0,0,0
