"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","queue-proxy","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1719027360000,0,0,0,0,0,0,1,0,0,undefined,0,4,6,27,1,0,0,0,0,2
1719027390000,0,0,0,0,0,0,1,0,1,0,0,5,1,28,1,0,0,0,0,1
1719027420000,0,0,0,0,0,1,2,1,1,0,0,4,9,34,1,0,0,0,0,3
1719027450000,0,0,undefined,0,0,0,0,0,0,undefined,0,4,7,31,1,0,0,0,0,2
1719027480000,0,0,undefined,0,0,0,undefined,0,0,0,0,4,10,27,0,0,0,0,0,3
1719027510000,0,0,undefined,0,0,0,1,0,0,0,0,4,7,26,0,0,0,0,0,2
1719027540000,0,0,0,0,0,1,3,1,0,undefined,0,4,9,23,1,0,0,0,0,3
1719027570000,0,0,0,0,0,0,1,0,0,0,0,4,4,20,1,1,0,0,0,1
1719027600000,0,0,0,0,0,0,1,0,0,0,0,4,9,34,1,0,0,0,0,3
1719027630000,0,0,0,0,0,0,0,1,2,0,0,5,5,35,1,undefined,0,0,0,2
1719027660000,0,0,0,0,0,0,0,0,0,0,0,4,9,31,0,0,0,0,0,2
1719027690000,1,1,0,0,0,4,0,1,0,0,0,4,9,33,0,0,0,0,0,3
1719027720000,5,1,0,1,0,56,undefined,2,3,2,0,8,12,30,2,0,0,2,0,6
1719027750000,5,0,0,2,0,90,230,8,0,5,0,17,13,33,4,1,0,5,7,10
1719027780000,7,0,0,2,0,18,156,10,0,7,0,16,28,32,5,0,0,4,6,11
1719027810000,6,0,0,2,0,16,undefined,8,1,5,0,16,26,29,5,0,0,4,6,10
1719027840000,6,0,0,1,0,85,240,6,0,4,0,16,7,29,4,0,0,4,6,8
1719027870000,6,0,0,1,0,76,225,6,0,8,0,15,10,31,4,0,0,5,6,8
1719027900000,5,0,0,2,0,70,182,7,0,7,0,14,31,31,4,0,0,3,6,12
1719027930000,5,0,0,2,0,75,249,10,0,undefined,0,15,34,32,4,0,0,4,6,14
1719027960000,6,0,0,3,0,77,234,5,0,undefined,0,12,9,33,4,0,0,6,2,8
1719027990000,6,0,0,3,0,68,168,6,0,8,0,15,22,25,5,0,0,8,0,10
1719028020000,6,0,0,4,0,91,undefined,5,1,9,0,13,33,33,2,0,0,7,0,13
1719028050000,6,0,0,3,0,103,265,5,0,10,0,15,30,32,3,0,0,9,0,13
1719028080000,6,0,0,3,0,78,260,6,0,6,0,13,23,31,3,0,0,8,0,11
1719028110000,5,0,undefined,3,0,83,undefined,6,0,undefined,0,14,22,34,6,0,0,9,0,11
1719028140000,6,0,0,3,0,97,undefined,6,0,7,0,13,15,32,6,0,3,8,0,10
1719028170000,5,0,0,3,1,93,308,5,0,11,0,14,5,21,3,0,1,7,0,8
1719028200000,5,0,0,7,9,138,196,9,1,13,0,19,40,21,6,0,2,9,0,18
1719028230000,5,0,0,8,5,150,undefined,10,2,12,0,18,39,30,2,0,0,8,0,17
1719028260000,5,1,0,7,0,204,267,10,0,undefined,0,18,39,31,undefined,0,0,8,0,19
1719028290000,5,0,0,8,0,152,334,9,0,undefined,0,16,32,32,10,0,0,8,0,16
1719028320000,6,0,0,8,0,114,168,10,0,12,0,16,30,32,9,0,0,7,0,15
1719028350000,5,0,0,7,0,21,undefined,8,0,8,0,19,39,35,6,0,0,8,0,13
1719028380000,5,0,0,8,0,123,333,8,0,9,0,17,38,26,4,0,0,9,0,16
1719028410000,5,0,0,8,0,135,154,11,0,8,0,20,32,33,4,0,0,9,0,16
1719028440000,6,0,0,7,0,137,undefined,9,1,undefined,0,17,13,33,11,0,0,8,0,12
1719028470000,6,1,0,9,0,84,347,10,0,12,0,16,32,31,11,1,0,8,0,15
1719028500000,4,0,0,9,0,126,346,10,0,12,0,17,29,31,5,0,0,7,0,15
1719028530000,6,0,0,8,0,143,155,11,0,12,0,18,26,32,4,0,0,7,0,15
1719028560000,8,0,0,9,0,110,175,12,0,12,0,19,35,30,12,0,0,10,0,17
1719028590000,6,1,0,9,0,27,173,14,0,12,0,21,17,35,11,0,0,8,0,11
1719028620000,6,1,0,7,0,156,undefined,10,3,12,0,18,24,37,12,0,0,9,0,16
1719028650000,6,0,0,8,0,103,360,9,0,11,0,15,12,32,13,0,0,9,0,11
1719028680000,6,0,0,4,0,129,299,7,0,undefined,0,13,7,34,10,0,0,8,0,10
1719028710000,5,0,0,3,0,104,290,6,0,undefined,0,13,31,29,3,0,0,9,0,13
1719028740000,5,0,0,3,0,102,265,7,0,11,0,14,35,31,7,1,0,9,0,14
1719028770000,6,0,0,3,0,78,undefined,8,0,10,0,14,24,25,7,0,0,8,0,12
1719028800000,6,0,0,3,0,81,undefined,8,1,7,0,14,20,33,3,0,0,6,0,10
