"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1719027360000,2,3,1,2,3,17,102,14,18,15,3,6,7,35,123,3,2,2,13
1719027390000,2,2,1,2,3,17,102,14,18,15,3,6,7,35,123,3,2,2,13
1719027420000,2,2,1,2,3,17,99,14,18,15,3,6,7,35,123,3,2,2,13
1719027450000,2,2,1,2,3,17,99,14,14,15,3,6,7,35,123,3,2,2,13
1719027480000,2,2,1,2,3,17,99,14,10,13,3,6,6,35,123,3,2,2,13
1719027510000,2,2,1,2,3,17,99,14,10,13,3,6,6,35,123,3,2,2,13
1719027540000,2,2,1,2,3,17,92,14,10,13,3,6,6,35,123,3,2,2,13
1719027570000,2,2,1,2,3,17,92,14,10,13,3,6,6,35,123,3,2,2,13
1719027600000,2,2,1,2,3,17,92,14,10,14,3,6,7,35,123,3,2,2,13
1719027630000,2,2,1,2,3,17,92,14,11,14,3,6,6,35,123,3,2,2,13
1719027660000,2,2,1,2,3,17,95,14,11,14,3,6,6,35,123,3,2,2,13
1719027690000,4,4,1,2,3,19,95,15,11,14,3,6,6,35,123,3,2,2,13
1719027720000,8,5,1,4,3,20,104,22,13,12,3,6,6,35,123,3,6,2,14
1719027750000,8,5,1,6,3,22,109,23,13,11,3,6,6,35,123,3,7,7,14
1719027780000,8,6,1,7,3,22,109,23,13,10,3,7,6,35,123,3,7,7,14
1719027810000,8,5,1,7,3,22,109,24,11,10,3,7,10,35,123,3,6,7,14
1719027840000,8,5,1,7,3,22,109,24,11,11,3,7,6,35,123,3,7,7,15
1719027870000,9,5,1,7,3,22,113,24,11,11,3,7,6,35,123,3,7,7,15
1719027900000,9,5,1,7,3,22,117,24,11,10,3,7,6,35,123,3,7,7,15
1719027930000,9,5,1,7,3,22,107,24,9,10,3,7,6,35,123,3,7,7,15
1719027960000,9,5,1,7,3,22,105,24,8,10,3,7,6,35,123,3,7,7,15
1719027990000,9,5,1,7,3,23,105,25,10,11,3,7,8,35,123,3,7,7,15
1719028020000,9,5,1,7,3,23,110,24,13,11,3,7,8,35,123,3,7,7,15
1719028050000,9,5,1,7,3,23,113,24,13,11,3,7,6,35,123,3,7,7,15
1719028080000,9,6,1,7,3,23,109,24,13,11,3,7,7,35,123,3,7,6,15
1719028110000,9,6,1,7,3,22,109,24,13,11,3,7,6,35,123,3,7,5,15
1719028140000,9,6,1,7,3,23,113,24,13,11,3,7,6,35,123,10,7,5,15
1719028170000,9,6,1,7,5,24,122,24,13,11,3,8,7,35,123,11,7,5,15
1719028200000,9,7,1,7,12,25,122,24,13,11,3,8,8,35,123,11,7,4,16
1719028230000,9,8,1,7,12,25,115,24,12,11,3,8,7,35,123,11,7,4,16
1719028260000,9,8,1,7,12,26,111,25,12,11,4,8,6,35,123,11,7,4,16
1719028290000,9,9,1,8,12,26,116,24,12,11,4,8,6,35,123,12,7,4,16
1719028320000,9,9,1,7,12,26,116,24,12,11,4,8,6,35,123,10,7,4,16
1719028350000,9,9,1,8,9,25,115,24,12,11,4,8,7,35,123,8,7,4,16
1719028380000,9,9,1,8,8,25,115,24,12,11,4,8,6,35,123,8,7,4,16
1719028410000,9,9,1,8,8,26,115,25,12,11,4,9,11,35,123,8,7,4,16
1719028440000,9,9,1,8,8,26,115,24,12,11,4,9,6,35,123,8,7,4,16
1719028470000,9,9,1,8,7,25,117,24,12,11,4,9,6,35,123,6,7,4,16
1719028500000,9,9,1,8,7,26,114,25,12,11,4,8,7,35,123,6,7,4,16
1719028530000,10,9,1,8,6,26,114,25,12,11,4,9,7,35,123,6,7,4,16
1719028560000,10,9,1,8,6,26,113,25,12,10,4,9,7,35,123,6,8,4,16
1719028590000,9,9,1,8,6,26,113,25,12,11,4,9,6,35,123,6,8,4,16
1719028620000,9,9,1,8,6,26,110,25,14,11,4,8,8,35,123,6,8,4,16
1719028650000,9,9,1,8,6,25,111,25,14,11,4,8,6,35,123,6,8,4,16
1719028680000,9,9,1,8,6,25,110,24,14,11,4,8,6,35,123,6,7,4,16
1719028710000,9,9,1,8,6,25,107,24,14,11,4,8,7,35,123,6,7,4,16
1719028740000,9,9,1,8,6,25,108,24,14,11,4,8,6,35,123,6,7,4,16
1719028770000,9,8,1,8,6,25,108,24,14,11,4,8,6,35,123,6,7,4,16
1719028800000,9,8,1,8,6,26,109,25,14,11,4,8,6,35,123,6,8,4,16
1719028830000,9,8,1,7,6,25,112,25,13,11,4,8,7,35,123,6,7,4,16
1719028860000,9,8,1,8,6,25,113,25,13,11,4,8,7,35,123,12,7,4,16
1719028890000,10,7,1,8,10,25,110,25,13,11,4,8,6,35,123,12,8,4,16
1719028920000,10,7,1,8,13,26,119,25,13,11,4,8,7,35,123,12,8,4,16
1719028950000,9,7,1,8,12,26,110,25,13,11,4,7,6,35,123,12,7,4,15
1719028980000,9,7,1,8,12,26,110,25,13,11,4,7,6,35,123,12,7,4,15
1719029010000,9,7,1,8,12,26,107,25,11,11,4,7,9,35,123,12,7,4,15
1719029040000,10,6,1,7,12,26,109,25,14,11,4,7,6,35,123,11,8,4,15
1719029070000,10,6,1,8,9,25,107,24,14,11,4,7,6,35,123,8,8,4,15
1719029100000,10,6,1,8,8,25,106,25,14,11,4,7,7,35,123,8,8,4,15
1719029130000,9,6,1,8,8,26,106,24,14,11,4,7,6,35,123,8,8,4,15
1719029160000,9,6,1,8,8,26,109,24,14,11,4,7,6,35,123,8,8,4,15
1719029190000,9,6,1,8,7,25,109,24,14,11,4,7,6,35,123,7,7,4,15
1719029220000,9,6,1,8,7,25,114,24,14,12,4,7,8,35,123,7,8,4,15
1719029250000,9,6,1,8,7,25,116,23,14,12,4,7,6,35,123,7,8,4,15
1719029280000,129,11,1,5,7,30,118,20,14,12,undefined,7,6,35,123,7,6,4,15
1719029310000,undefined,10,1,5,7,30,120,20,14,12,undefined,7,6,35,123,7,5,4,15
1719029340000,undefined,10,1,5,7,32,106,20,14,13,undefined,7,6,35,123,7,5,undefined,15
1719029370000,undefined,13,1,undefined,7,46,108,19,14,13,undefined,7,7,35,123,7,undefined,undefined,16
1719029400000,undefined,undefined,1,undefined,15,81,110,16,14,15,undefined,7,7,35,123,undefined,undefined,undefined,17
1719029430000,undefined,undefined,1,undefined,undefined,81,110,17,8,17,undefined,7,6,35,123,undefined,undefined,undefined,17
