"Time","city-pole","event-store","ngsi-ld-city-airqualityobserved","ngsi-ld-city-crowdflowobserved","ngsi-ld-city-device","ngsi-ld-city-offstreetparking","ngsi-ld-city-parkingspot","ngsi-ld-city-streetlight","ngsi-ld-city-trafficflowobserved","ngsi-ld-city-weatherobserved","s4city-city-neighborhood","Total Number of Pods"
1719027360000,14,20,14,14,14,14,14,14,14,14,14,160
1719027390000,14,20,14,14,14,14,14,14,14,14,14,160
1719027420000,14,20,14,14,14,14,14,14,14,14,14,160
1719027450000,14,20,14,14,14,14,14,14,14,14,14,160
1719027480000,14,20,14,14,14,14,14,14,14,14,14,160
1719027510000,14,16,14,14,14,14,14,14,14,14,14,156
1719027540000,14,20,14,14,14,14,14,14,14,14,14,160
1719027570000,14,20,14,14,14,14,14,14,14,14,14,160
1719027600000,14,20,14,14,14,14,14,14,14,14,14,160
1719027630000,14,20,14,14,14,14,14,14,14,14,14,160
1719027660000,14,20,14,14,14,14,14,14,14,14,14,160
1719027690000,14,20,14,14,14,14,14,14,14,14,14,160
1719027720000,14,20,14,14,14,14,14,14,14,14,14,160
1719027750000,14,20,14,14,14,14,14,14,14,14,14,160
1719027780000,14,20,14,14,14,14,14,14,14,14,14,160
1719027810000,14,20,14,14,14,14,14,14,14,14,14,160
1719027840000,14,20,14,14,14,14,14,14,14,14,14,160
1719027870000,14,20,14,14,14,14,14,14,14,14,14,160
1719027900000,14,20,14,14,14,14,14,14,14,14,14,160
1719027930000,14,20,14,14,14,14,14,14,14,14,14,160
1719027960000,14,20,14,14,14,14,14,14,14,14,14,160
1719027990000,14,20,14,14,14,14,14,14,14,14,14,160
1719028020000,14,20,14,14,14,14,14,14,14,14,14,160
1719028050000,14,20,14,14,14,14,14,14,14,14,14,160
1719028080000,14,20,14,14,14,14,14,14,14,14,14,160
1719028110000,14,20,14,14,14,14,14,14,14,14,14,160
1719028140000,14,20,14,14,14,14,14,14,14,14,14,160
1719028170000,14,20,14,14,14,14,14,14,14,14,14,160
1719028200000,14,20,14,14,14,14,14,14,14,14,14,160
1719028230000,14,20,14,14,14,14,14,14,14,14,14,160
1719028260000,14,20,14,14,14,14,14,14,14,14,14,160
1719028290000,14,20,14,14,14,14,14,14,14,14,14,160
1719028320000,14,20,14,14,14,14,14,14,14,14,14,160
1719028350000,14,20,14,14,14,14,14,14,14,14,14,160
1719028380000,14,20,14,14,14,14,14,14,14,14,14,160
1719028410000,14,20,14,14,14,14,14,14,14,14,14,160
1719028440000,14,20,14,14,14,14,14,14,14,14,14,160
1719028470000,14,20,14,14,14,14,14,14,14,14,14,160
1719028500000,14,20,14,14,14,14,14,14,14,14,14,160
1719028530000,14,20,14,14,14,14,14,14,14,14,14,160
1719028560000,14,20,14,14,14,14,14,14,14,14,14,160
1719028590000,14,20,14,14,14,14,14,14,14,14,14,160
1719028620000,14,20,14,14,14,14,14,14,14,14,14,160
1719028650000,14,20,14,14,14,14,14,14,14,14,14,160
1719028680000,14,20,14,14,14,14,14,14,14,14,14,160
1719028710000,14,20,14,14,14,14,14,14,14,14,14,160
1719028740000,14,20,14,14,14,14,14,14,14,14,14,160
1719028770000,14,20,14,14,14,14,14,14,14,14,14,160
1719028800000,14,20,14,14,14,14,14,14,14,14,14,160
1719028830000,14,20,14,14,14,14,14,14,14,14,14,160
1719028860000,14,20,14,14,14,14,14,14,14,14,14,160
1719028890000,14,20,14,14,14,14,14,14,14,14,14,160
1719028920000,14,20,14,14,14,14,14,14,14,14,14,160
1719028950000,14,20,14,14,14,14,14,14,14,14,14,160
1719028980000,14,20,14,14,14,14,14,14,14,14,14,160
1719029010000,14,20,14,14,14,14,14,14,14,14,14,160
1719029040000,14,20,14,14,14,14,14,14,14,14,14,160
1719029070000,14,20,14,14,14,14,14,14,14,14,14,160
1719029100000,14,20,14,14,14,14,14,14,14,14,14,160
1719029130000,14,20,14,14,14,14,14,14,14,14,14,160
1719029160000,14,20,14,14,14,14,14,14,14,14,14,160
1719029190000,14,20,14,14,14,14,14,14,14,14,14,160
1719029220000,14,20,14,14,14,14,14,14,14,14,14,160
1719029250000,0,20,7,14,14,14,14,14,14,14,7,132
1719029280000,0,20,7,14,14,14,14,14,14,14,7,132
1719029310000,0,20,7,14,14,14,14,14,14,0,7,118
1719029340000,0,20,7,14,14,14,0,14,14,0,7,104
1719029370000,0,20,7,14,7,14,0,7,14,0,7,90
1719029400000,0,20,7,14,7,14,0,7,14,0,7,90
1719029430000,0,10,7,14,7,14,0,7,14,0,7,80
