"Time","city-pole","event-store","ngsi-ld-city-airqualityobserved","ngsi-ld-city-crowdflowobserved","ngsi-ld-city-device","ngsi-ld-city-offstreetparking","ngsi-ld-city-parkingspot","ngsi-ld-city-streetlight","ngsi-ld-city-trafficflowobserved","ngsi-ld-city-weatherobserved"
1719027750000,0.067,93.033,23.333,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1719027780000,0,173.533,25.867,8.333,undefined,undefined,undefined,undefined,26.667,37.333
1719027810000,0,140.867,24.433,8.333,undefined,0.033,0.033,undefined,24.933,24.767
1719027840000,0,142.533,25.367,8.333,undefined,0,0,undefined,25.067,25.367
1719027870000,0,137.467,24.333,8.333,undefined,0.167,0.167,undefined,23.6,23.833
1719027900000,0,145.767,25.667,8.333,undefined,0,0,undefined,26.4,25.8
1719027930000,0,141.6,25,8.333,undefined,0,0,undefined,25,25
1719027960000,0,140,25,8.333,undefined,0.333,0.333,undefined,25,23.9
1719027990000,0,93.2,25,16.667,undefined,0.3,0.333,undefined,49.933,0.3
1719028020000,0,174.6,24.333,16.667,undefined,0.367,0.333,undefined,48.967,0
1719028050000,0,135.533,25,16.667,undefined,0.333,0.333,undefined,51.1,0
1719028080000,0,134.6,25.6,16.667,undefined,0.333,0.333,undefined,49.767,0
1719028110000,0,134.2,24.833,16.667,undefined,0.333,0.333,undefined,49.9,0
1719028140000,0,134.4,25.033,16.667,undefined,0.333,0.333,undefined,50.233,0
1719028170000,0,142.233,24.933,16.667,undefined,0.333,0.333,undefined,49.433,0
1719028200000,0,190.2,24.967,31.667,undefined,1.933,1.933,0,49.567,0
1719028230000,0,267.067,25.067,49.967,44.133,2.5,2.5,8.333,50.167,0
1719028260000,0,204.833,24.833,49.733,0,2.5,2.5,0,49.567,0
1719028290000,0,205.133,25,49.767,0,2.5,2.5,0,50.167,0
1719028320000,0,205.8,24.967,49.967,0,2.5,2.5,0,49.833,0
1719028350000,undefined,206.367,25.1,50.1,0,2.5,2.5,0,50.1,0
1719028380000,undefined,205.967,25,49.933,0,2.5,2.5,0,50,0
1719028410000,undefined,205.933,25,50,0,2.5,2.5,0,50,0
1719028440000,undefined,205.933,24.967,50,0,2.5,2.5,0,50,0
1719028470000,undefined,200.767,25.033,50,0,2.467,2.5,0,50,0
1719028500000,undefined,210.333,24.833,49.8,0,2.533,2.5,0,49.767,0
1719028530000,undefined,186.367,24.833,44.233,0,2.2,2.2,0,44.833,0
1719028560000,undefined,226.267,25.333,55.933,0,2.8,2.8,0,55.367,0
1719028590000,undefined,205.1,24.733,49.767,0,2.5,2.5,0,49.767,0
1719028620000,undefined,206.267,25.1,50.1,0,2.5,2.5,0,50.133,0
1719028650000,undefined,205,24.833,49.8,0,2.5,2.5,0,49.767,undefined
1719028680000,undefined,174.7,25.233,35.9,0,0.9,0.9,0,50.267,undefined
1719028710000,undefined,134.367,24.933,16.667,0,0.333,0.333,0,49.933,undefined
1719028740000,undefined,134.333,25.1,16.667,0,0.333,0.333,0,50.033,undefined
1719028770000,undefined,134.333,25,16.667,0,0.333,0.333,0,49.967,undefined
1719028800000,undefined,134.3,25,16.667,0,0.333,0.333,0,50,undefined
1719028830000,undefined,134.233,24.867,16.667,0,0.333,0.333,undefined,49.967,undefined
1719028860000,undefined,134.3,25,16.667,0,0.333,0.333,undefined,50,undefined
1719028890000,undefined,150.333,24.867,16.667,undefined,0.333,0.333,undefined,49.8,undefined
1719028920000,undefined,156.667,25.133,16.667,undefined,0.167,0.167,0,50.2,undefined
1719028950000,undefined,153.067,25,8.333,44.767,0,0,8.333,25,undefined
1719028980000,undefined,91.833,24.933,8.333,0,0.133,0.133,0,24.933,undefined
1719029010000,undefined,91.967,25.067,8.333,0,0.033,0.033,0,25.067,undefined
1719029040000,undefined,91.067,24.867,8.333,0,0,0,0,24.8,undefined
1719029070000,undefined,92.567,25.1,8.333,0,0.167,0.167,0,25.133,undefined
1719029100000,undefined,91.6,24.967,8.333,0,0,0,0,25,undefined
1719029130000,undefined,91.4,24.933,8.333,0,0,0,0,24.867,undefined
1719029160000,undefined,73.167,14.933,6.533,0,0,0,0,24.2,undefined
1719029190000,undefined,1.1,0,0,0,0,0,0,1.1,undefined
1719029220000,undefined,0,0,0,0,0,0,0,0,undefined
1719029250000,undefined,0,0,0,0,0,0,0,0,undefined
1719029280000,undefined,0,0,0,0,0,0,0,0,undefined
1719029310000,undefined,0,0,0,0,0,0,0,0,undefined
1719029340000,undefined,0,0,0,0,0,0,0,0,undefined
1719029370000,undefined,0,0,0,0,0,0,0,0,undefined
1719029400000,undefined,0,0,0,0,0,0,0,0,undefined
1719029430000,undefined,0,0,0,0,0,0,0,0,undefined
