"Time","city-pole-00002","city-pole-00004","event-store-00002","ngsi-ld-city-airqualityobserved-00002","ngsi-ld-city-airqualityobserved-00004","ngsi-ld-city-crowdflowobserved-00002","ngsi-ld-city-crowdflowobserved-00004","ngsi-ld-city-device-00004","ngsi-ld-city-offstreetparking-00004","ngsi-ld-city-parkingspot-00004","ngsi-ld-city-streetlight-00004","ngsi-ld-city-trafficflowobserved-00002","ngsi-ld-city-trafficflowobserved-00004","ngsi-ld-city-weatherobserved-00002","ngsi-ld-city-weatherobserved-00004","All Revisions"
1719027360000,479.81,undefined,2236.667,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4156.952
1719027390000,479.81,undefined,2236.667,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4156.952
1719027420000,479.81,undefined,2236.667,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4156.952
1719027450000,479.81,undefined,2236.667,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4156.952
1719027480000,479.81,undefined,2236.667,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4156.952
1719027510000,479.81,undefined,2236.667,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4156.952
1719027540000,479.81,undefined,2236.667,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4156.952
1719027570000,479.81,undefined,2236.667,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4156.952
1719027600000,479.81,undefined,2236.667,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4156.952
1719027630000,479.81,undefined,2236.667,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4156.952
1719027660000,479.81,undefined,2236.667,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4156.952
1719027690000,479.81,undefined,2236.667,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4156.952
1719027720000,479.81,undefined,2630.552,479.81,undefined,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,4550.838
1719027750000,479.81,4.982,5802.049,479.81,1693.607,104.762,undefined,undefined,undefined,undefined,undefined,419.048,undefined,436.857,undefined,9420.923
1719027780000,479.81,3.491,11215.027,479.81,2507.26,104.762,622.717,undefined,undefined,undefined,undefined,419.048,1992.693,436.857,2490.771,20752.244
1719027810000,479.81,2.994,15591.9,479.81,3238.608,104.762,872.717,undefined,2.491,2.491,undefined,419.048,2701.931,436.857,3046.992,27380.409
1719027840000,479.81,2.745,20011.023,479.81,4005.719,104.762,1122.717,undefined,1.745,1.745,undefined,419.048,3442.998,436.857,3751.678,34260.656
1719027870000,479.81,2.596,24264.744,479.81,4733.241,104.762,1372.717,undefined,8.982,8.982,undefined,419.048,4129.132,436.857,4427.126,40867.805
1719027900000,479.81,2.497,28769.408,479.81,5508.196,104.762,1622.717,undefined,8.236,8.236,undefined,419.048,4933.059,436.857,5189.087,47961.721
1719027930000,479.81,2.426,33138.026,479.81,6258.903,104.762,1872.717,undefined,7.789,7.789,undefined,419.048,5680.574,436.857,5927.097,54815.607
1719027960000,479.81,2.373,37451.063,479.81,7009.434,104.762,2122.717,undefined,19.976,19.976,undefined,419.048,6428.799,436.857,6630.862,61605.485
1719027990000,479.81,2.331,40317.979,479.81,7759.847,104.762,2669.306,undefined,30.325,31.538,undefined,419.048,8064.864,436.857,6542.244,67338.72
1719028020000,479.81,2.298,45749.578,479.81,8488.196,104.762,3205.543,undefined,42.709,42.709,undefined,419.048,9636.444,436.857,6465.328,75553.09
1719028050000,479.81,2.271,49908.758,479.81,9238.646,104.762,3734.532,undefined,53.62,53.62,undefined,419.048,11261.049,436.857,6403.795,82576.577
1719028080000,479.81,2.248,54035.137,479.81,10008.508,104.762,4258.25,undefined,64.349,64.349,undefined,419.048,12823.578,436.857,6346.496,89523.201
1719028110000,479.81,2.229,58145.5,479.81,10753.33,104.762,4778.015,undefined,74.945,74.945,undefined,419.048,14380.164,436.857,6283.371,96412.786
1719028140000,479.81,2.213,62258.625,479.81,11504.602,104.762,5294.74,undefined,85.442,85.442,undefined,419.048,15937.745,436.857,6229.958,103319.053
1719028170000,479.81,2.199,67669.211,479.81,12252.64,104.762,5809.075,undefined,95.863,95.863,undefined,419.048,17461.544,436.857,6184.175,111490.855
1719028200000,484.371,2.186,72510.678,484.371,13001.735,105.758,6816.225,undefined,158.192,158.192,0,423.031,18984.301,441.01,6144.497,119714.545
1719028230000,0,2.175,78536.548,0,13753.993,0,8416.386,3297.907,237.467,237.467,436.358,0,20522.266,0,6109.778,131550.346
1719028260000,0,2.166,84837.247,0,14498.838,0,9976.709,2310.954,316.207,316.207,374.239,0,22036.774,0,6079.144,140748.485
1719028290000,0,2.157,91147.199,0,15248.96,0,11522.134,1981.969,394.508,394.508,343.179,0,23567.717,0,6051.914,150654.244
1719028320000,0,2.149,97477.679,0,15998.02,0,13068.354,1817.477,472.441,472.441,324.543,0,25085.144,0,6027.55,160745.799
1719028350000,0,2.1,103825.607,0,16751.263,0,14614.05,1718.781,550.066,550.066,312.119,0,26608.925,0,6005.623,170938.601
1719028380000,0,2.1,110161.246,0,17501.348,0,16150.444,1652.985,627.429,627.429,303.245,0,28127.514,0,5985.784,181139.523
1719028410000,0,2.1,116495.873,0,18251.427,0,17685.437,1605.987,704.566,704.566,296.59,0,29644.413,0,5967.748,191358.706
1719028440000,0,2.1,122830.511,0,19000.457,0,19217.388,1570.738,781.509,781.509,291.413,0,31159.842,0,5951.281,201586.749
1719028470000,0,2.1,129006.225,0,19751.565,0,20746.676,1543.323,857.24,858.283,287.272,0,32673.986,0,5936.186,211662.856
1719028500000,0,2.1,135476.231,0,20496.435,0,22267.383,1521.391,934.91,934.91,283.883,0,34179.581,0,5922.298,222019.121
1719028530000,0,2.1,141209,0,21241.315,0,23612.671,1503.446,1002.049,1002.049,281.06,0,35527.721,0,5909.479,231290.891
