"Time","city-pole","event-store","ngsi-ld-city-airqualityobserved","ngsi-ld-city-crowdflowobserved","ngsi-ld-city-device","ngsi-ld-city-offstreetparking","ngsi-ld-city-parkingspot","ngsi-ld-city-streetlight","ngsi-ld-city-trafficflowobserved","ngsi-ld-city-weatherobserved","s4city-city-neighborhood","Total Number of Pods"
1719065610000,1,3,1,1,1,1,1,1,1,1,1,13
1719065640000,1,3,1,1,1,1,1,1,1,1,1,13
1719065670000,1,3,1,1,1,1,1,1,1,1,1,13
1719065700000,1,3,1,1,1,1,1,1,1,1,1,13
1719065730000,1,3,1,1,1,1,1,1,1,1,1,13
1719065760000,1,3,1,1,1,1,1,1,1,1,1,13
1719065790000,1,3,1,1,1,1,1,1,1,1,1,13
1719065820000,1,3,1,1,1,1,1,1,1,1,1,13
1719065850000,1,3,1,1,1,1,1,1,1,1,1,13
1719065880000,1,3,1,1,1,1,1,1,1,1,1,13
1719065910000,1,3,1,1,1,1,1,1,1,1,1,13
1719065940000,1,3,1,1,1,1,1,1,1,1,1,13
1719065970000,1,3,1,1,1,1,1,1,1,1,1,13
1719066000000,1,3,1,1,1,1,1,1,1,1,1,13
1719066030000,1,3,1,1,1,1,1,1,1,1,1,13
1719066060000,1,3,1,1,1,1,1,1,1,1,1,13
1719066090000,1,3,1,1,1,1,1,1,1,1,1,13
1719066120000,1,3,1,1,1,1,1,1,1,1,1,13
1719066150000,1,3,1,1,1,1,1,1,1,1,1,13
1719066180000,1,3,1,1,1,1,1,1,1,1,1,13
1719066210000,1,3,1,1,1,1,1,1,1,1,1,13
1719066240000,1,3,1,1,1,1,1,1,1,1,1,13
1719066270000,1,3,1,1,1,1,1,1,1,1,1,13
1719066300000,1,3,1,1,1,1,1,1,1,1,1,13
1719066330000,1,3,1,1,1,1,1,1,1,1,1,13
1719066360000,1,3,1,1,1,1,1,1,1,1,1,13
1719066390000,1,3,1,1,1,1,1,1,1,1,1,13
1719066420000,1,3,1,1,1,1,1,1,1,1,1,13
1719066450000,1,3,1,1,1,1,1,1,1,1,1,13
1719066480000,1,3,1,1,1,1,1,1,1,1,1,13
1719066510000,1,3,1,1,1,1,1,1,1,1,1,13
1719066540000,1,3,1,1,1,1,1,1,1,1,1,13
1719066570000,1,3,1,1,1,1,1,1,1,1,1,13
1719066600000,1,3,1,1,1,1,1,1,1,1,1,13
1719066630000,1,3,1,1,1,1,1,1,1,1,1,13
1719066660000,1,3,1,1,1,1,1,1,1,1,1,13
1719066690000,1,3,1,1,1,1,1,1,1,1,1,13
1719066720000,1,3,1,1,1,1,1,1,1,1,1,13
1719066750000,1,3,1,1,1,1,1,1,1,1,1,13
1719066780000,1,3,1,1,1,1,1,1,1,1,1,13
1719066810000,1,3,1,1,1,1,1,1,1,1,1,13
1719066840000,1,3,1,1,1,1,1,1,1,1,1,13
1719066870000,1,3,1,1,1,1,1,1,1,1,1,13
1719066900000,1,3,1,1,1,1,1,1,1,1,1,13
1719066930000,1,3,1,1,1,1,1,1,1,1,1,13
1719066960000,1,3,1,1,1,1,1,1,1,1,1,13
1719066990000,1,3,1,1,1,1,1,1,1,1,1,13
1719067020000,1,3,1,1,1,1,1,1,1,1,1,13
1719067050000,1,3,1,1,1,1,1,1,1,1,1,13
1719067080000,1,3,1,1,1,1,1,1,1,1,1,13
1719067110000,1,3,1,1,1,1,1,1,1,1,1,13
1719067140000,1,3,1,1,1,1,1,1,1,1,1,13
1719067170000,1,3,1,1,1,1,1,1,1,1,1,13
1719067200000,1,3,1,1,1,1,1,1,1,1,1,13
1719067230000,1,3,1,1,1,1,1,1,1,1,1,13
1719067260000,1,3,1,1,1,1,1,1,1,1,1,13
1719067290000,1,3,1,1,1,1,1,1,1,1,1,13
1719067320000,1,3,1,1,1,1,1,1,1,1,1,13
1719067350000,1,3,1,1,1,1,1,1,1,1,1,13
1719067380000,1,3,1,1,1,1,1,1,1,1,1,13
1719067410000,1,3,1,1,1,1,1,1,1,1,1,13
1719067440000,0,3,0,0,1,0,0,1,0,0,0,5
