"Time","city-pole-00002","city-pole-00004","event-store-00001","ngsi-ld-city-airqualityobserved-00002","ngsi-ld-city-airqualityobserved-00004","ngsi-ld-city-crowdflowobserved-00002","ngsi-ld-city-crowdflowobserved-00004","ngsi-ld-city-device-00004","ngsi-ld-city-offstreetparking-00002","ngsi-ld-city-offstreetparking-00004","ngsi-ld-city-parkingspot-00002","ngsi-ld-city-parkingspot-00004","ngsi-ld-city-streetlight-00004","ngsi-ld-city-trafficflowobserved-00002","ngsi-ld-city-trafficflowobserved-00004","ngsi-ld-city-weatherobserved-00002","ngsi-ld-city-weatherobserved-00004","s4city-city-neighborhood-00002","s4city-city-neighborhood-00004","All Revisions"
1719065610000,572.917,undefined,4376.042,572.917,undefined,156.25,undefined,undefined,0,undefined,0,undefined,undefined,572.917,undefined,615.625,undefined,572.917,undefined,7439.583
1719065640000,572.917,undefined,4376.042,572.917,undefined,156.25,undefined,undefined,0,undefined,0,undefined,undefined,572.917,undefined,615.625,undefined,572.917,undefined,7439.583
1719065670000,572.917,undefined,4376.042,572.917,undefined,156.25,undefined,undefined,0,undefined,0,undefined,undefined,572.917,undefined,615.625,undefined,572.917,undefined,7439.583
1719065700000,572.917,undefined,4376.042,572.917,undefined,156.25,undefined,undefined,0,undefined,0,undefined,undefined,572.917,undefined,615.625,undefined,572.917,undefined,7439.583
1719065730000,572.362,undefined,4371.806,572.362,undefined,156.099,undefined,undefined,0,undefined,0,undefined,undefined,572.362,undefined,615.029,undefined,572.362,undefined,7432.382
1719065760000,416.97,undefined,3195.036,416.97,undefined,104.243,undefined,undefined,0,undefined,0,undefined,undefined,416.97,undefined,456.583,undefined,416.97,undefined,5423.743
1719065790000,261.089,undefined,1987.407,261.089,undefined,52.218,undefined,undefined,0,undefined,0,undefined,undefined,261.089,undefined,293.464,undefined,261.089,undefined,3377.443
1719065820000,104.647,undefined,815.198,104.647,undefined,0,undefined,undefined,0,undefined,0,undefined,undefined,124.53,undefined,137.087,undefined,104.647,undefined,1390.754
1719065850000,0,undefined,0,0,undefined,0,undefined,undefined,0,undefined,0,undefined,undefined,0,undefined,0,undefined,0,undefined,0
1719065880000,0,undefined,0,0,undefined,0,undefined,undefined,0,undefined,0,undefined,undefined,0,undefined,0,undefined,0,undefined,0
1719065910000,0,undefined,0,0,undefined,0,undefined,undefined,0,undefined,0,undefined,undefined,0,undefined,0,undefined,0,undefined,0
1719065940000,0,undefined,1178.588,0,undefined,0,undefined,undefined,0,undefined,0,undefined,undefined,0,undefined,0,undefined,0,undefined,1178.588
1719065970000,0,373.63,2357.175,0,373.63,0,124.543,undefined,0,undefined,0,undefined,undefined,0,373.63,0,373.63,0,373.63,4349.868
1719066000000,0,523.63,3538.837,0,523.63,0,174.543,undefined,0,undefined,0,undefined,undefined,0,523.63,0,523.63,0,523.63,6331.531
1719066030000,0,673.63,4717.425,0,673.63,0,224.543,undefined,0,0,0,0,undefined,0,673.63,0,673.63,0,673.63,8310.118
1719066060000,0,823.63,5898.062,0,823.63,0,274.543,undefined,0,1.745,0,1.745,undefined,0,823.63,0,823.63,0,823.63,10294.246
1719066090000,0,973.63,7077.675,0,973.63,0,324.543,undefined,0,1.497,0,1.497,undefined,0,973.63,0,973.63,0,973.63,12273.362
1719066120000,0,1123.63,8256.262,0,1123.63,0,374.543,undefined,0,1.373,0,1.373,undefined,0,1123.63,0,1123.63,0,1123.63,14251.701
1719066150000,0,1273.63,9440.999,0,1273.63,0,424.543,undefined,0,2.596,0,2.596,undefined,0,1277.269,0,1273.63,0,1273.63,16242.524
1719066180000,0,1423.63,10880.925,0,1423.63,0,533.861,undefined,0,4.994,0,4.994,undefined,0,1603.956,0,1423.63,0,1423.63,18723.251
1719066210000,0,1573.63,12319.827,0,1573.63,0,641.109,undefined,0,7.278,0,7.278,undefined,0,1925.657,0,1573.63,0,1573.63,21195.668
1719066240000,0,1723.63,13762.828,0,1723.63,0,746.906,undefined,0,9.491,0,9.491,undefined,0,2243.017,0,1723.63,0,1723.63,23666.253
1719066270000,0,1873.63,15203.78,0,1873.63,0,851.65,undefined,0,11.657,0,11.657,undefined,0,2557.221,0,1873.63,0,1873.63,26130.484
1719066300000,0,2023.63,16643.706,0,2023.63,0,955.603,undefined,0,13.789,0,13.789,undefined,0,2867.933,0,2023.63,0,2023.63,28589.341
1719066330000,0,2173.63,18187.144,0,2173.63,0,1058.948,undefined,0,15.897,0,15.897,undefined,0,3177.959,0,2173.63,0,2173.63,31150.365
1719066360000,0,2323.63,19627.07,0,2323.63,0,1161.815,undefined,0,17.988,0,17.988,0,0,3485.445,0,2323.63,0,2323.63,33604.826
1719066390000,0,2473.63,21696.26,0,2473.63,0,1319.269,undefined,undefined,25.638,undefined,25.638,87.272,0,3792.899,0,2473.63,0,2473.63,36841.496
