"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","queue-proxy","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1719060660000,0,0,0,0,undefined,0,1,0,0,0,0,6,4,33,1,0,0,0,0,3
1719060690000,0,0,0,0,undefined,0,1,0,0,0,0,5,8,29,0,0,0,0,undefined,4
1719060720000,0,0,0,0,0,0,1,0,1,0,0,5,1,35,0,0,0,undefined,0,1
1719060750000,0,3,0,0,0,1,3,0,1,0,0,11,15,30,1,0,0,undefined,0,7
1719060780000,48,11,0,12,0,44,187,42,0,5,55,99,20,32,9,undefined,0,25,39,21
1719060810000,68,25,0,0,0,117,374,81,0,5,92,121,39,23,12,0,0,21,49,39
1719060840000,92,20,0,28,0,93,397,81,0,7,88,140,26,33,15,0,0,28,undefined,32
1719060870000,95,26,0,24,0,107,430,87,0,7,89,128,17,32,17,0,0,46,70,31
1719060900000,85,28,0,25,0,94,395,86,0,7,95,119,13,31,10,0,0,undefined,76,26
1719060930000,66,26,0,22,0,70,370,89,0,4,92,132,20,33,17,0,0,undefined,81,29
1719060960000,86,27,0,11,0,102,391,91,1,8,85,137,23,33,18,0,0,53,83,34
1719060990000,91,30,0,25,0,93,380,97,0,7,98,115,30,28,22,0,0,54,50,37
1719061020000,91,29,0,43,0,118,undefined,106,0,9,87,166,17,31,18,0,0,115,69,33
1719061050000,85,18,0,44,0,121,279,111,0,9,57,169,35,30,undefined,0,0,129,72,38
1719061080000,92,30,0,39,0,122,319,103,0,10,88,148,25,32,20,0,0,116,67,38
1719061110000,93,30,0,46,0,74,undefined,113,0,10,101,169,36,31,21,0,0,118,71,40
1719061140000,90,25,0,41,0,19,451,104,1,10,95,168,27,30,21,0,0,undefined,37,32
1719061170000,38,26,0,47,0,86,432,117,0,6,95,170,32,30,20,0,7,undefined,85,39
1719061200000,89,27,0,47,0,127,478,117,0,10,101,142,35,30,14,0,13,130,undefined,42
1719061230000,80,28,0,36,53,139,262,125,0,12,81,158,30,33,26,0,0,126,undefined,44
1719061260000,64,29,0,114,55,215,undefined,121,0,14,105,189,15,33,28,0,22,132,82,44
1719061290000,99,31,0,120,0,321,541,98,0,11,93,180,13,31,20,0,0,undefined,81,48
1719061320000,96,29,0,140,0,220,395,122,0,12,112,166,15,34,16,0,0,88,84,42
1719061350000,96,32,0,132,1,238,560,94,2,13,48,194,24,31,22,0,1,132,undefined,47
1719061380000,106,28,0,127,0,199,584,139,0,11,105,194,35,32,28,0,0,118,undefined,54
1719061410000,95,32,0,134,0,230,361,110,0,13,103,196,39,32,30,0,0,128,91,56
1719061440000,99,28,0,137,0,253,undefined,138,0,12,100,169,36,33,16,0,0,129,86,54
1719061470000,96,29,0,135,0,197,538,137,0,12,108,210,13,29,24,0,0,137,88,44
1719061500000,89,27,0,123,0,242,537,140,0,12,97,163,9,28,25,0,0,134,78,44
1719061530000,95,32,0,96,0,186,567,124,1,13,117,161,42,34,13,0,0,undefined,91,50
1719061560000,91,27,0,125,0,107,538,145,0,11,99,146,31,31,11,1,0,100,90,41
1719061590000,68,30,0,139,0,31,511,130,0,13,101,163,10,32,29,0,0,142,92,30
1719061620000,95,30,0,61,0,223,555,142,0,13,101,215,34,34,17,0,0,130,82,53
1719061650000,92,27,0,132,0,177,559,143,0,10,100,200,28,34,17,0,0,undefined,82,47
1719061680000,89,29,0,135,0,20,536,118,0,12,103,218,34,30,14,0,0,undefined,83,36
1719061710000,90,19,0,100,0,209,509,127,undefined,11,107,183,38,30,14,0,0,136,86,51
1719061740000,101,30,0,38,0,137,500,130,1,11,114,147,41,31,29,0,0,86,58,50
1719061770000,87,30,0,48,0,129,443,124,0,8,108,167,30,29,11,0,0,undefined,undefined,40
1719061800000,99,26,0,38,0,23,435,117,0,10,102,149,25,32,24,0,0,144,55,33
1719061830000,88,25,0,52,0,63,undefined,128,0,10,105,175,28,29,23,0,0,140,93,37
