"Time","ktwin.command.city-pole.updateairqualityindex","ktwin.command.ngsi-ld-city-offstreetparking.updatevehiclecount","ktwin.command.s4city-city-neighborhood.updateairqualityindex","ktwin.real.ngsi-ld-city-airqualityobserved","ktwin.real.ngsi-ld-city-crowdflowobserved","ktwin.real.ngsi-ld-city-device","ktwin.real.ngsi-ld-city-evchargingstation","ktwin.real.ngsi-ld-city-noiselevelobserved","ktwin.real.ngsi-ld-city-parkingspot","ktwin.real.ngsi-ld-city-streetlight","ktwin.real.ngsi-ld-city-trafficflowobserved","ktwin.real.ngsi-ld-city-weatherobserved","ktwin.store.ngsi-ld-city-airqualityobserved","ktwin.store.ngsi-ld-city-crowdflowobserved","ktwin.store.ngsi-ld-city-device","ktwin.store.ngsi-ld-city-offstreetparking","ktwin.store.ngsi-ld-city-streetlight","ktwin.store.ngsi-ld-city-trafficflowobserved","ktwin.store.ngsi-ld-city-weatherobserved","ktwin.store.s4city-city-neighborhood","ktwin.virtual.ngsi-ld-city-device"
1719060780000,16.76555666666667,undefined,16.76555666666667,16.519059444444444,undefined,undefined,undefined,15.01327777777778,undefined,undefined,undefined,undefined,16.76555666666667,undefined,undefined,undefined,undefined,undefined,undefined,16.76555666666667,undefined
1719060810000,25.4,undefined,25.133333333333333,24.8,8.333333333333334,undefined,undefined,24.733333333333334,undefined,undefined,25,24.933333333333334,25.4,8.333333333333334,undefined,undefined,undefined,25,25,24.9,undefined
1719060840000,25,undefined,25.266666666666666,26.2,8.333333333333334,undefined,undefined,26.933333333333334,undefined,undefined,25,25.466666666666665,25,8.333333333333334,undefined,undefined,undefined,25,25,25.5,undefined
1719060870000,25,0,25,25,8.333333333333334,undefined,0,25,0,undefined,25,25,25,8.333333333333334,undefined,0,undefined,25,25,25,undefined
1719060900000,25,0.16666666666666666,25,25,8.333333333333334,undefined,0.16666666666666666,25,0.16666666666666666,undefined,25,25,25,8.333333333333334,undefined,0.16666666666666666,undefined,25,25,25,undefined
1719060930000,25,0,25,24.866666666666667,8.333333333333334,undefined,0,25,0,undefined,25,25,25,8.333333333333334,undefined,0,undefined,25,25,25,undefined
1719060960000,25,0,25,24.433333333333334,8.333333333333334,undefined,0,24.233333333333334,0,undefined,25,25,25,8.333333333333334,undefined,0,undefined,25,25,25,undefined
1719060990000,25,0.3333333333333333,25,25.366666666666667,8.333333333333334,undefined,0.3333333333333333,25.766666666666666,0.26666666666666666,undefined,33.333333333333336,25,25,9.366666666666667,undefined,0.3333333333333333,undefined,33.333333333333336,25,25,undefined
1719061020000,23.03333333333333,0.3333333333333333,22.766666666666666,22.566666666666666,16.666666666666668,undefined,0.3333333333333333,22.4,0.26666666666666666,undefined,45.06666666666666,23.566666666666666,25,16.6,undefined,0.3333333333333333,undefined,47.5,25,21.966666666666665,undefined
1719061050000,26.966666666666665,0.3333333333333333,27.233333333333334,27.333333333333332,16.666666666666668,undefined,0.3333333333333333,27.566666666666666,0.4,undefined,54.9,26.433333333333334,25,16.633333333333333,undefined,0.3333333333333333,undefined,52.5,25,28.03333333333333,undefined
1719061080000,25,0.3333333333333333,25,25,16.666666666666668,undefined,0.3333333333333333,25,0.3333333333333333,undefined,49.733333333333334,25,25,16.266666666666666,undefined,0.3333333333333333,undefined,50,25,25,undefined
1719061110000,23.266666666666666,0.3333333333333333,22.433333333333334,23.5,16.666666666666668,undefined,0.3333333333333333,22.866666666666667,0.3,undefined,46.666666666666664,23.933333333333334,25,16.9,undefined,0.3333333333333333,undefined,47.2,24.933333333333334,22.433333333333334,undefined
1719061140000,26.733333333333334,0.3333333333333333,27.566666666666666,26.099999999999998,16.666666666666668,undefined,0.3333333333333333,26.866666666666667,0.36666666666666664,undefined,52.699999999999996,26.03333333333333,25,16.133333333333333,undefined,0.3333333333333333,undefined,52.8,25.066666666666666,27.566666666666666,undefined
1719061170000,25,0.3333333333333333,25,25,16.666666666666668,undefined,0.3333333333333333,24.2,0.3333333333333333,undefined,49.4,24.8,25,17.6,undefined,0.3333333333333333,undefined,50,25,24.766666666666666,undefined
1719061200000,25,0.3333333333333333,25,25.266666666666666,16.666666666666668,undefined,0.3333333333333333,26.066666666666666,0.3333333333333333,3.3333333333333335,50.5,25.2,25,15.733333333333333,undefined,0.3333333333333333,1.6,50,25,25.233333333333334,undefined
1719061230000,25,1.5,25,24.9,30,32.07691055555556,0.7333333333333333,25,1.4333333333333333,5,49.96666666666667,25,25,30.03333333333333,32.504418333333334,1.4666666666666666,7,50,25,24.866666666666667,32.504418333333334
1719061260000,24.3,2.466666666666667,24.3,24.966666666666665,50,6.733333333333333,1,25,2.5,3.3333333333333335,49.766666666666666,25,24.3,50.63333333333333,3.3333333333333335,2.5,1.3333333333333333,50,25,24.433333333333334,3.3333333333333335
1719061290000,25,2.533333333333333,25,24.93167122191854,49.996666888874074,0,0.9999333377774815,24.998333444437037,2.4998333444437035,0,49.996666888874074,24.998333444437037,25.03333333333333,49.8,0,2.533333333333333,0,50,25,25,0
1719061320000,25,2.5,25,25.001666777785186,50.00333355557037,0,1.0000666711114075,25.001666777785186,2.5001666777785188,0,49.83665577705181,24.968331222081474,25,49.86666666666667,0,2.5,0,50,25,25,0
1719061350000,22.733333333333334,2.4,22.433333333333334,22.7,47.36666666666667,0,0.9,21.766666666666666,2.4,0,45.46666666666667,23.733333333333334,22.7,44.833333333333336,0,2.4,0,46.166666666666664,22.666666666666668,22.2,0
1719061380000,27.266666666666666,2.5666666666666664,27.566666666666666,27.3,52.36666666666667,0,1.1,28.233333333333334,2.6,0,54.333333333333336,26.099999999999998,27.266666666666666,54.9,0,2.5666666666666664,0,53.833333333333336,27.333333333333332,27.8,0
1719061410000,25,2.533333333333333,25,25,50,0,1,25,2.5,0,50,25,25,50.13333333333333,0,2.5,0,50,25,25,0
1719061440000,25,2.5,25,25,49.833333333333336,0,1,25,2.5,0,49.733333333333334,25,25,50.333333333333336,0,2.5,0,50,25,25,0
1719061470000,25,2.5,25,24.933333333333334,50,0,1,24.133333333333333,2.5,0,49.6,25,25,50.03333333333333,0,2.5,0,50,25,25,0
1719061500000,25,2.466666666666667,25,25.066666666666666,50.03333333333333,0,1,25.1,2.5,0,50.233333333333334,25,25,49.53333333333333,0,2.5,0,50,25,25,0
1719061530000,21.333333333333332,2.3333333333333335,21.333333333333332,22,45.9,0,0.9,20.9,2.3333333333333335,0,44.96666666666667,22.9,21.433333333333334,44.8,0,2.3333333333333335,0,43.9,22,21.266666666666666,0
1719061560000,28.666666666666668,2.6666666666666665,28.666666666666668,27.933333333333334,54.06666666666666,0,1.1,29.099999999999998,2.6666666666666665,0,54.93333333333333,27.03333333333333,28.566666666666666,55.56666666666666,0,2.6666666666666665,0,56.1,28,28.733333333333334,0
1719061590000,25,2.5,25,25.03333333333333,50,0,1,25,2.5,0,49.96666666666667,25,25,49.666666666666664,0,2.5,0,50,25,25,0
1719061620000,25,2.5,25,24.966666666666665,50,0,1,25,2.5,0,49.93333333333333,25,25,50.266666666666666,0,2.5,0,50,25,25,0
1719061650000,24.566666666666666,2.466666666666667,24.133333333333333,24.03333333333333,49.13333333333333,0,0.9666666666666667,24.133333333333333,2.433333333333333,0,48.46666666666667,24.2,24.566666666666666,48.766666666666666,0,2.466666666666667,0,48.36666666666667,24.566666666666666,24.133333333333333,0
1719061680000,25.433333333333334,2.533333333333333,25.866666666666667,25.633333333333333,50.5,0,1.0333333333333332,25.566666666666666,2.533333333333333,0,50.96666666666667,25.7,25.433333333333334,50.93333333333333,0,2.533333333333333,0,51.63333333333333,25.433333333333334,25.866666666666667,0
1719061710000,25,1.3333333333333333,25,25.166666666666668,37.46666666666667,0,0.6,25,1.4333333333333333,0,50.1,24.966666666666665,25,36.833333333333336,0,1.3333333333333333,0,50,25,24.03333333333333,0
1719061740000,25,0.3333333333333333,24.6,24.9,16.666666666666668,0,0.3333333333333333,25,0.3333333333333333,0,49.9,24.9,25,16.666666666666668,0,0.3333333333333333,0,49.86666666666667,25,22.833333333333332,0
