"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1719060660000,2,2,1,2,undefined,12,102,12,10,8,3,6,6,39,124,3,2,2,14
1719060690000,2,2,1,2,3,12,102,12,10,8,3,6,6,39,124,3,2,2,14
1719060720000,2,2,1,2,3,12,102,12,10,6,3,6,9,39,124,3,2,2,14
1719060750000,2,13,1,2,3,13,96,12,10,6,3,6,7,39,124,3,2,2,14
1719060780000,26,10,1,8,3,19,103,29,10,6,18,6,6,39,124,3,43,19,14
1719060810000,14,6,1,8,3,21,108,26,10,6,22,6,6,39,124,3,43,19,14
1719060840000,22,10,1,42,3,22,104,26,10,6,30,6,7,39,124,3,46,20,15
1719060870000,33,8,1,61,3,22,110,27,10,6,30,6,6,39,124,3,72,29,15
1719060900000,13,9,1,27,3,22,109,27,10,6,33,6,6,39,124,3,72,81,15
1719060930000,45,18,1,20,3,22,106,29,7,6,30,6,7,39,124,3,13,17,15
1719060960000,20,10,1,47,3,22,109,30,11,6,26,6,7,39,124,3,65,31,15
1719060990000,18,14,1,57,3,22,113,32,11,6,21,6,7,39,124,3,41,31,15
1719061020000,18,13,1,16,3,23,113,29,11,6,17,6,6,39,124,3,63,33,15
1719061050000,24,15,1,19,3,22,110,32,11,6,38,7,6,39,124,3,63,33,15
1719061080000,18,15,1,16,3,23,110,32,11,6,22,7,6,39,124,3,48,87,16
1719061110000,22,16,1,11,3,23,114,29,11,6,24,7,7,39,124,3,18,87,15
1719061140000,26,16,1,70,3,23,114,39,13,6,26,7,7,39,124,3,18,30,16
1719061170000,46,16,1,34,3,23,111,32,13,6,22,7,7,39,124,56,14,82,16
1719061200000,12,14,1,22,3,23,107,35,13,6,64,7,6,39,124,59,19,82,16
1719061230000,23,12,1,20,48,24,107,34,13,6,43,8,6,39,124,59,60,25,16
1719061260000,28,14,1,82,87,27,115,35,13,6,22,8,6,39,124,53,28,67,16
1719061290000,16,12,1,14,86,28,113,32,13,6,21,8,6,39,124,53,28,15,16
1719061320000,19,12,1,15,86,28,108,31,13,6,19,8,8,39,124,53,27,16,16
1719061350000,14,12,1,19,86,29,109,30,11,6,43,8,7,39,124,53,48,16,16
1719061380000,30,12,1,43,39,28,107,42,11,6,32,8,6,39,124,53,37,46,16
1719061410000,30,15,1,31,39,27,107,30,11,6,24,7,6,39,124,24,39,77,16
1719061440000,16,12,1,20,39,26,105,34,11,6,22,7,6,39,124,24,43,75,16
1719061470000,18,13,1,17,39,27,108,31,11,6,32,7,6,39,124,24,34,73,16
1719061500000,20,13,1,58,39,27,109,45,11,6,24,7,6,39,124,24,30,49,16
1719061530000,18,14,1,61,11,26,108,32,13,6,34,7,8,39,124,10,30,77,16
1719061560000,24,13,1,22,11,27,107,36,13,6,28,7,6,39,124,10,46,76,16
1719061590000,18,21,1,18,11,26,112,34,13,6,38,8,6,39,124,10,44,26,16
1719061620000,18,15,1,43,11,27,112,34,13,6,24,8,6,39,124,10,33,95,16
1719061650000,78,16,1,37,11,27,113,38,13,6,39,7,7,39,124,10,33,84,16
1719061680000,14,16,1,17,11,27,106,44,13,6,33,7,6,39,124,10,22,48,16
1719061710000,24,15,1,26,11,26,104,59,9,6,22,7,7,39,124,10,62,79,16
1719061740000,15,14,1,31,11,26,107,34,11,6,34,7,8,39,124,10,62,79,16
1719061770000,15,15,1,21,11,27,106,32,11,6,33,7,6,39,124,10,78,84,16
1719061800000,48,13,1,12,11,26,110,31,11,6,31,7,7,40,124,10,48,77,16
1719061830000,28,12,1,22,11,26,110,32,11,6,22,7,6,40,124,10,51,25,16
1719061860000,18,12,1,21,11,26,111,46,11,6,43,7,6,40,124,10,19,48,16
1719061890000,15,13,1,24,11,26,110,35,11,6,34,7,6,40,124,45,19,48,16
1719061920000,15,15,1,30,11,26,110,37,11,6,25,8,7,40,124,49,17,26,16
1719061950000,18,12,1,37,57,28,126,45,11,6,33,8,7,40,124,49,16,99,17
1719061980000,17,13,1,25,122,28,112,31,11,6,31,8,8,40,124,112,19,99,17
1719062010000,19,14,1,27,121,27,113,42,11,6,36,8,6,40,124,112,16,87,17
1719062040000,22,15,1,30,121,27,104,31,11,6,31,8,6,40,124,112,16,128,17
1719062070000,18,14,1,22,121,29,108,35,11,7,45,8,7,40,124,111,17,128,17
1719062100000,20,14,1,18,83,27,108,31,11,6,22,8,6,40,124,111,13,146,17
1719062130000,21,13,1,18,83,27,104,33,11,6,29,8,7,40,124,57,13,130,17
1719062160000,21,14,1,19,83,27,113,30,11,6,27,9,6,40,124,57,29,128,17
1719062190000,18,13,1,13,83,26,113,31,12,7,29,9,6,40,124,57,47,84,17
1719062220000,14,12,1,23,83,27,105,27,12,7,29,8,6,40,124,57,47,83,17
1719062250000,14,12,1,23,13,26,107,27,12,7,29,8,6,40,124,15,47,83,17
1719062280000,14,12,1,23,13,26,110,27,12,7,29,8,8,40,124,15,47,83,17
1719062310000,14,12,1,23,13,26,110,27,12,7,29,8,6,40,124,15,46,83,17
1719062340000,12,9,1,14,13,24,112,22,12,7,24,9,7,40,124,15,22,8,17
1719062370000,12,9,1,14,13,23,114,22,14,7,24,8,7,40,124,15,22,8,17
