"Time","city-pole","event-store","ngsi-ld-city-airqualityobserved","ngsi-ld-city-crowdflowobserved","ngsi-ld-city-device","ngsi-ld-city-offstreetparking","ngsi-ld-city-parkingspot","ngsi-ld-city-streetlight","ngsi-ld-city-trafficflowobserved","ngsi-ld-city-weatherobserved","s4city-city-neighborhood"
1719060810000,25,191.667,25,undefined,undefined,undefined,undefined,undefined,25,undefined,25
1719060840000,25,191.867,25,8.333,undefined,undefined,undefined,undefined,25,25,25
1719060870000,25,191.967,25,8.333,undefined,0.133,0.133,undefined,25,25,25
1719060900000,25,191.667,25,8.333,undefined,0,0,undefined,25,25,25
1719060930000,25,192.167,25,8.333,undefined,0.167,0.167,undefined,25,25,25
1719060960000,25,191.667,25,8.333,undefined,0,0,undefined,25,25,25
1719060990000,25,191.667,25,8.333,undefined,0,0,undefined,25,25,25
1719061020000,25,211,25,13.333,undefined,0.333,0.333,undefined,33.333,25,25
1719061050000,25,227.8,25,16.233,undefined,0.333,0.333,undefined,50,25,24.567
1719061080000,25,240.733,25,16.033,undefined,0.333,0.333,undefined,50,25,25.433
1719061110000,25,233.533,25,16.867,undefined,0.333,0.333,undefined,49.9,25,25
1719061140000,25,229.633,25,17.533,undefined,0.333,0.333,undefined,50.1,25,24.467
1719061170000,25,237.967,25,14.3,undefined,0.333,0.333,undefined,49.9,25,25.533
1719061200000,25,244.1,25,17.733,undefined,0.333,0.333,undefined,50.067,25,25
1719061230000,25,244.767,25,17.967,undefined,0.333,0.333,0,50.033,25,25
1719061260000,24.998,321.801,24.998,28.664,54.461,1.6,1.633,8.333,49.995,24.998,24.998
1719061290000,25.003,313.098,25.003,48.772,3.2,2.5,2.467,0,50.005,25.003,25.003
1719061320000,25,314.3,25,51.8,0,2.5,2.5,0,50,25,25
1719061350000,25,301,25,50.5,0,2.5,2.5,0,50,25,25
1719061380000,23.498,287.371,24.931,41.229,0,2.466,2.5,0,47.195,22.964,22.798
1719061410000,26.103,323.799,25.003,56.739,0,2.467,2.467,0,52.572,27.036,26.669
1719061440000,25.4,309.2,25.067,50.367,0,2.533,2.533,0,50.233,25,25.533
1719061470000,25,307.367,25,49.933,0,2.533,2.5,0,49.967,25,25
1719061500000,25,300.267,25,48.733,0,2.5,2.5,0,50,25,25
1719061530000,25,309.667,25,49.233,0,2.5,2.5,0,50,25,24.9
1719061560000,20.933,279.633,21.167,44.933,0,2.5,2.5,0,45.267,22.533,20.933
1719061590000,29.067,333.733,28.833,57.767,0,2.5,2.5,0,54.733,27.467,29.167
1719061620000,25,295.033,25,49.467,0,2.467,2.5,0,50,25,25
1719061650000,25,316.667,25,50.167,0,2.533,2.5,0,50,25,25
1719061680000,24.133,294.433,24.3,46.567,0,2.4,2.4,0,49.167,24.933,24.1
1719061710000,25.867,314.6,25.7,53.367,0,2.567,2.567,0,50.833,25.067,25.9
1719061740000,25,275.567,25,35.5,0,1.267,1.267,0,50,25,24.933
1719061770000,25,227.367,25,17.533,0,0.333,0.333,0,49.8,25,24.567
1719061800000,25,243.467,25,16.9,0,0.333,0.333,0,50.133,25,25.4
1719061830000,25,233.833,25,16,0,0.333,0.333,0,49.967,25,24.9
1719061860000,25,235.2,25,16.833,0,0.333,0.333,0,50.067,25,25.2
1719061890000,25,234.8,25,16.933,undefined,0.333,0.333,undefined,49.967,25,25
1719061920000,25,249.833,25,16.467,undefined,0.333,0.333,undefined,50,25,24.767
1719061950000,22.9,219.9,23.333,14.467,undefined,0.333,0.333,0,45.933,22.767,22.433
1719061980000,27.1,305.1,26.667,16.133,58.033,0.167,0.167,7.3,45.6,27.233,26.6
1719062010000,25,204.767,25,8.333,5.433,0,0,1.033,25.1,25,26.167
1719062040000,24.8,191.2,24.867,8.333,0,0,0,0,24.9,25,24.767
1719062070000,25.2,192.633,25.133,8.333,0,0.167,0.167,0,25.133,25,25.267
1719062100000,24.967,191.567,24.967,8.333,0,0,0,0,24.967,25,24.967
1719062130000,24.933,191.9,25,8.333,0,0.167,0.167,0,24.967,25,24.9
1719062160000,25.033,191.767,25,8.333,0,0,0,0,25,25,25.033
1719062190000,24.967,191.667,24.933,8.333,0,0,0,0,25.033,25,25
1719062220000,14.667,142.133,14.667,6.5,0,0.167,0.167,0,23.033,22.733,14.667
1719062250000,0,0,0,0,0,0,0,0,0,0,0
1719062280000,0,0,0,0,0,0,0,0,0,0,0
1719062310000,0,0,0,0,0,0,0,0,0,0,0
1719062340000,0,0,0,0,0,0,0,0,0,0,0
1719062370000,0,0,0,0,0,0,0,0,0,0,0
