"Time","city-pole-00002","event-store-00001","ngsi-ld-city-airqualityobserved-00002","ngsi-ld-city-crowdflowobserved-00002","ngsi-ld-city-device-00002","ngsi-ld-city-offstreetparking-00002","ngsi-ld-city-parkingspot-00002","ngsi-ld-city-streetlight-00002","ngsi-ld-city-trafficflowobserved-00002","ngsi-ld-city-weatherobserved-00002","s4city-city-neighborhood-00002","All Revisions"
1719060660000,8000,31915.968,8000,3559.226,undefined,46.552,46.552,undefined,10612.645,5161.044,4778.55,72120.536
1719060690000,8000,31915.968,8000,3559.226,undefined,46.552,46.552,undefined,10612.645,5161.044,4778.55,72120.536
1719060720000,8000,31915.968,8000,3559.226,undefined,46.552,46.552,undefined,10612.645,5161.044,4778.55,72120.536
1719060750000,8000,31915.968,8000,3559.226,undefined,46.552,46.552,undefined,10612.645,5161.044,4778.55,72120.536
1719060780000,8274.565,33082.625,8274.565,3559.226,undefined,46.552,46.552,undefined,10641.09,5161.044,5045.752,74131.97
1719060810000,9043.133,38986.301,9043.133,3823.637,undefined,46.552,46.552,undefined,11407.783,5948.245,5817.246,84162.582
1719060840000,9920.303,44890.033,9920.303,4122.669,undefined,47.627,47.627,undefined,12309.53,6790.26,6656.069,94704.42
1719060870000,10512.351,50639.363,10512.351,4305.449,undefined,51.724,51.724,undefined,12858.913,7447.406,7314.688,103693.969
1719060900000,10512.351,50749.102,10512.351,4312.628,undefined,52.212,52.212,undefined,12858.913,7447.406,7314.688,103811.863
1719060930000,10512.351,50804.484,10512.351,4305.449,undefined,56.408,56.408,undefined,12858.913,7447.406,7314.688,103868.457
1719060960000,10512.351,50859.866,10512.351,4317.756,undefined,56.408,56.408,undefined,12865.067,7447.406,7314.688,103942.3
1719060990000,10512.351,51446.507,10512.351,4313.654,undefined,56.408,56.408,undefined,12863.015,7447.406,7314.688,104522.787
1719061020000,10512.351,52809.456,10512.351,4468.518,undefined,61.536,61.536,undefined,13115.312,7447.406,7314.688,106303.154
1719061050000,10512.351,58793.211,10512.351,4718.764,undefined,71.792,71.792,undefined,13884.508,8051.448,7853.129,114469.345
